Date,Tablet Browser,Other Browser,WAP Access
2011/11/01,449000000,1470000000,14400000
2011/12/01,461000000,1843000000,16300000
2012/01/01,580000000,1854000000,14800000
2012/02/01,544000000,1808000000,13200000
2012/03/01,544000000,1811000000,13000000
