Date,Total,Browser, Apps
2011/11/01,1951000000,1933000000,17300000
2011/12/01,2346000000,2320000000,25400000
2012/01/01,2471000000,2449000000,22600000
2012/02/01,2414000000,2365000000,48900000
2012/03/01,2421000000,2368000000,53200000
