target_language,region_code,region_name
en,AS,Asia Pacific
en,C,China
en,EU,Europe
en,I,India
en,LA,Latin-America
en,MA,Middle-East/Africa
en,NA,North-America
en,W,World
fr,EU,L'Europe
nl,EU,Europa
