date,AS,C,EU,I,LA,MA,NA,W
2008-01,19.4,0.6,39.1,19.2,31.1,28.9,33.5,29.4
2008-02,19.5,0.7,37.9,18.8,34.2,28.3,33.2,29.3
2008-03,19.8,0.7,39.1,18.7,40.4,32.2,34.0,30.5
2008-04,20.1,2.2,39.3,17.9,42.8,32.3,33.8,30.8
2008-05,19.7,0.9,39.7,18.2,43.2,32.9,34.1,30.8
2008-06,20.1,0.9,37.0,20.4,41.2,27.3,31.5,29.2
2008-07,17.2,0.1,32.4,19.2,33.6,24.7,31.1,25.7
2008-08,17.2,0.8,31.0,20.5,38.2,25.1,32.4,25.9
2008-09,17.2,1.6,35.9,19.6,40.4,27.2,34.7,28.0
2008-10,16.3,1.2,37.2,18.6,38.6,29.3,36.0,28.2
2008-11,16.7,1.2,38.0,19.9,37.2,28.9,35.1,28.2
2008-12,15.9,1.3,37.3,20.0,30.4,31.0,34.5,27.1
2009-01,16.8,1.0,39.4,20.8,29.6,31.5,36.6,28.4
2009-02,16.4,1.1,38.5,20.0,33.9,24.8,35.5,27.9
2009-03,17.8,1.4,40.9,21.0,41.5,28.2,36.0,29.9
2009-04,17.0,1.6,38.3,20.2,39.8,26.0,37.8,28.9
2009-05,16.6,1.5,37.6,21.0,39.6,24.9,36.8,28.3
2009-06,16.5,2.2,35.2,21.7,38.3,20.8,34.4,26.7
2009-07,15.9,1.8,33.7,22.6,33.1,20.6,34.9,25.7
2009-08,16.2,1.6,34.2,23.7,36.8,21.9,35.6,26.4
2009-09,16.1,1.3,37.4,23.7,38.4,22.0,37.3,27.6
2009-10,17.0,1.6,39.0,25.7,39.0,26.9,38.2,29.0
2009-11,16.5,1.6,39.0,25.8,38.4,26.2,38.5,28.7
2009-12,16.7,1.5,38.6,26.3,32.5,28.3,39.1,28.4
2010-01,17.4,1.4,40.3,27.4,33.5,27.2,41.1,29.5
2010-02,15.3,1.2,39.2,26.4,36.7,24.9,39.9,28.7
2010-03,16.2,1.4,40.8,27.7,43.1,28.3,41.0,30.4
2010-04,15.9,1.6,41.4,28.4,43.2,28.1,40.9,30.4
2010-05,16.3,1.0,43.0,30.1,44.1,29.2,41.5,31.3
2010-06,16.1,1.0,43.0,31.6,41.8,25.6,38.9,30.2
2010-07,15.9,0.9,39.3,32.4,35.9,24.4,39.0,28.5
2010-08,16.2,1.0,39.6,33.0,39.9,24.4,39.7,29.0
2010-09,16.1,1.1,43.5,33.3,42.2,26.5,41.9,30.8
2010-10,16.0,1.1,44.4,33.5,41.6,30.1,42.7,31.3
2010-11,15.7,1.1,45.8,33.1,42.4,27.6,42.0,31.3
2010-12,15.2,1.2,43.6,33.7,34.8,27.4,42.7,29.9
2011-01,15.9,1.0,46.4,35.9,35.0,28.2,43.2,31.0
2011-02,14.2,0.9,41.6,30.6,36.3,25.8,39.4,28.3
2011-03,14.7,0.9,43.1,30.4,41.3,28.0,40.1,29.6
2011-04,14.0,0.9,40.8,29.6,38.7,25.7,38.0,27.9
2011-05,15.1,1.1,44.0,31.4,41.6,28.5,39.5,29.9
2011-06,15.2,1.2,41.7,32.1,39.6,25.8,39.1,28.9
2011-07,15.7,1.5,39.6,33.6,35.4,24.6,40.5,28.2
2011-08,16.7,1.6,40.9,35.4,43.0,25.9,42.4,30.0
2011-09,17.4,1.7,44.6,35.6,45.5,29.0,44.4,32.0
2011-10,17.9,2.2,47.0,34.9,45.3,32.2,45.4,33.3
2011-11,17.7,2.2,47.1,35.4,44.2,31.5,44.7,33.0
2011-12,17.4,2.7,45.5,35.1,35.0,31.6,44.8,31.7
2012-01,18.1,2.6,48.1,36.4,36.3,32.9,47.3,33.2
2012-02,17.9,2.4,46.4,34.6,39.6,32.2,46.3,32.8
2012-03,18.4,2.8,46.2,34.5,44.6,32.4,45.2,33.3
2012-04,17.2,2.0,44.8,32.3,41.8,30.9,45.2,32.0
2012-05,17.7,1.8,46.8,33.7,44.2,32.3,45.6,33.2
2012-06,17.6,1.8,43.8,34.5,40.9,29.7,43.9,31.5
2012-07,17.6,1.7,41.0,35.0,36.8,26.6,44.2,30.2
2012-08,17.5,1.7,40.6,34.2,40.5,27.0,44.8,30.4
2012-09,17.3,1.5,43.4,33.1,41.9,28.6,46.4,31.5
2012-10,17.2,1.5,45.2,33.5,42.8,30.5,46.8,32.3
2012-11,16.7,1.4,45.4,31.8,42.0,30.9,45.6,31.9
2012-12,16.5,1.3,45,33,34.9,30.3,45.1,31
2013-01,17.1,1.2,47,33.6,35.9,30,46.1,31.9
2013-02,16.7,0.9,45.1,32.4,42,28.9,44.9,31.6
2013-03,17.6,1.3,46.9,33.8,46.7,31,46.5,33.3
2013-04,17.8,2.1,46,33.2,47,30.6,46.5,33.1
2013-05,18.3,2.3,46.3,34,46.7,31,45.5,33.3
2013-06,18,2.1,43.7,34.8,45.1,29,42.5,31.8
2013-07,18.5,2.3,42.2,36.6,40.2,28.2,42.9,31.1
2013-08,18.3,2.2,41.9,35.6,42.1,28.3,42.6,31.1
2013-09,17.7,1.7,43.9,33.7,42.4,28.2,43.5,31.5
2013-10,18.2,2.2,46.3,35.1,44.4,29.7,44.9,32.9
2013-11,18,2.4,47.6,34.4,43.3,30.2,43.4,32.9
2013-12,17.1,2.5,44.9,33.3,33.1,27.8,40.3,30.1
2014-01,17,2,46.9,33.2,32.7,27.4,39,30.3
2014-02,16.2,2.3,44.1,31.1,35.2,26.6,36.3,29.1
