date,AOL,Amazon,Apple,Ask Network,Baidu,CBS,Facebook,Glam Media,Google,Microsoft,Tencent,Total Internet,Wikimedia,Yahoo!,eBay
2008-01,247880000,165959000,140309000,121303000,70050000,35214000,100668000,46853000,597234000,545608000,70643000,824435000,242554000,-1,249307000
2008-02,240810000,155193000,139213000,116420000,66711000,36781000,100319000,53017000,605576000,542751000,66228000,822990000,240754000,-1,239900000
2008-03,251899000,163460000,142900000,130049000,71376000,41412000,109162000,64362000,626118000,563245000,72854000,840590000,256061000,-1,250945000
2008-04,253544000,161752000,144047000,130467000,72860000,39195000,116375000,63962000,631148000,565670000,72838000,849580000,261414000,-1,245133000
2008-05,252394000,159281000,140380000,127769000,80201000,39565000,123851000,77391000,643809000,572016000,77885000,853119000,263120000,-1,247791000
2008-06,256679000,155108000,134621000,124603000,83330000,35979000,132105000,76942000,649096000,572292000,84330000,860514000,251502000,-1,238400000
2008-07,271020000,159813000,140009000,142242000,130172000,171234000,144845000,80839000,722454000,636377000,133198000,949583000,244326000,-1,236762000
2008-08,268065000,156750000,142011000,138045000,137394000,172895000,153945000,75252000,742390000,645223000,139113000,960198000,248539000,-1,233263000
2008-09,264196000,156720000,143583000,144689000,143754000,174198000,161122000,88296000,748539000,646072000,147993000,971945000,272109000,-1,228805000
2008-10,267783000,159807000,145753000,153488000,149514000,174183000,181772000,97589000,753081000,639829000,155708000,984396000,277208000,-1,233044000
2008-11,268312000,169903000,147928000,160489000,148748000,171724000,200189000,95166000,758588000,638570000,157213000,996304000,280969000,-1,233173000
2008-12,273020000,187354000,161500000,164513000,152447000,178844000,221791000,110577000,775980000,646915000,158617000,1007730000,272998000,-1,240947000
2009-01,271016000,188202000,157639000,164191000,147419000,180319000,236292000,103134000,771553000,632548000,156047000,1020582000,289811000,-1,231552000
2009-02,276793340,183002729,158271877,164566000,147589000,185641670,275642122,102198000,816983240,675271648,311206585,1078911086,300751440,-1,234560495
2009-03,285516952,194927843,170395053,172552000,147281000,202560045,294674675,108824000,830662907,692478942,309166693,1092598409,327147671,-1,250155801
