=== Page view data are normalized to 30 day months ===

=== Page view totals non-mobile + mobile ===

,,,,,,,,project,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015
,,,,,,,,Portuguese,191948515,212572828,234763094,231193250,232643623,160738596,174107513,196230523,251252007,226136663,249247379,251823530,204964404,238925366,284662734,264892776,270789097,193279861,204134794,226332964,259419247,323138528,348232821,352770011,283352580,323641010,346795253,326212376,365719957,286499670,294122739,317213016,355257961,347411579,366290552,353245471,306828703,374838420,390511890,392845877,394908641,329839164,328950041,344983877,384614370,390660831,407865108,428804643,398008511,447831422,457143722,458315842,478522699,437749422,450712267,487282729,556205789,543943101,542975027,571485503,477400188,454830920,438040200,476147789,483218116,369771383,455950565,502751763,557865974,466984720,464449492,449528349,448172152,478275549,515480698,461273175,446257891,356576502,354485311,379704649,430912615,441666663,442946537,386721280,Portuguese
,,,,,,,,Dutch,109482172,112861810,137655804,148868323,149779808,132708796,154382684,147131644,157678285,133250642,142677626,141884963,115720215,117674624,139838402,149322508,148536508,127605068,147926332,144753200,134407073,149989491,161677524,160908787,132200932,138740660,155321749,165769831,164086819,155426061,183224428,173692454,170313950,159491382,177875326,173214454,154271752,165946806,179208989,193931076,192045129,182406904,204074606,199042810,195175388,191661131,191508392,202771239,186756599,191770506,201450162,212958864,219481652,218581905,248599376,237383732,236141827,209655525,217370697,227618533,191371817,191012229,206586556,205202125,202312577,197462195,230039769,224158182,224210833,215657976,209110932,227034207,216469569,237090701,248590481,215612232,208381916,202289302,214791593,197258330,211991005,210441564,218624485,190458063,Dutch
,,,,,,,,Turkish,49187274,48663318,60674010,71758568,73921469,75455574,73635066,78329058,83164574,76806392,71775003,60581767,56749142,56886594,58705956,73961629,66784898,75806789,68505345,67519386,64801318,78186853,76152372,66524669,59303763,59419557,64023235,76567784,75745683,90856405,92131256,94112386,92269765,100097115,92010775,79891396,77454188,88423754,89228684,107018552,105679043,115175505,114983329,114870590,116723569,117057276,118913560,106483885,110311810,118486482,118078900,126919448,140024326,150780366,164114881,166012014,171247735,164819781,165131751,158695830,159432961,128250434,125604633,151967884,170657906,176583886,166334937,157941650,171377598,167947699,171890931,159443492,156932906,147097208,156419229,151899912,162529247,172747266,167332284,167188521,184851487,196911735,187120559,167410153,Turkish
,,,,,,,, Wd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2814,5123010,13767775,15088618,21695676,26087773,38013978,46134866,26933511,31356548,21168584,29628579,30021723,32814800,43196959,46900992,34785203,38741028,58950439,56634126,76912310,42728331,49847960,73745020,88655819,58584879,57396997,73918612,80922136,79411372, Wd
,,,,,,,,English Wk,41643099,39325415,47385259,41178797,35015855,38337590,37551229,38427292,40633351,36862178,38472628,39715126,42456596,46916363,49424479,52257666,50897260,49096160,58026043,50904638,46998278,48620128,51460830,56317081,56174176,50420059,54795620,55295670,57161716,56245192,67991615,76724546,71158072,71701998,74336171,84060200,80580560,83164130,82398800,96991469,87101810,73527531,89885317,84326502,73058154,78841293,81727482,84336131,78396141,79961722,87366890,94555545,95938827,81260698,96052732,104229608,104586950,97445417,100572779,102182894,95785196,72494014,64765938,62484209,55495579,58887552,60860209,71691196,77152190,72079055,67325852,73122758,93668224,91485278,102183359,82550301,80025961,93231076,80352701,84559272,75338230,75221136,76934996,71882361,English Wk
,,,,,,,,Swedish,48499395,55109178,70463628,73900807,75656464,69420845,78175318,79876681,82314658,69032419,72702863,59548555,57888995,65901106,77203081,76680349,74533396,63647306,75306569,80708125,69303570,77890331,85677559,71148063,68125237,74387717,86638772,88437703,87263838,84737437,96803390,94089254,94006891,84333343,91399009,76362780,81019750,88459136,97447595,106848015,102616223,107602529,112910958,111353092,105116882,98795005,106437042,97004508,96476988,104777376,118412423,126139665,129093358,129858041,146040820,141779568,138097772,129106153,130594213,118134450,116585159,122276789,132329899,133993975,131567217,124189175,143653224,150184689,151789377,132833138,137764545,145175407,145076153,148710020,164532199,146755275,136686523,125969988,132104849,127517137,132423423,131874216,138150088,112233338,Swedish
,,,,,,,,Czech,26174877,28538609,36906087,39127276,45445656,37395074,49320003,46592439,48401067,40267461,46205191,44978219,36778845,34443095,46396182,52924744,52580697,43815923,54607500,51890087,48582798,57724699,64144880,51522068,41227640,41733465,49527460,55058143,59911039,55333610,71252178,63094693,64646975,62522310,69364850,60563202,52415624,53636976,61588035,74126189,76175219,72896213,88245522,78103220,77654367,77238917,82753468,76539949,59985035,62357511,73554528,83978610,85859454,86376455,101244687,93945055,93188621,90878197,92997445,85439509,67000938,67727476,74712328,82335273,82232222,78421671,96850613,92494404,90819222,88779673,88524455,88287610,76932256,78204719,86279347,84236307,84733475,76086877,93941830,84680883,88680761,88539525,95076679,82615950,Czech
,,,,,,,,Arabic,19228605,20081532,24629796,31512668,36162560,29484293,33786602,35317398,37454906,34788031,30843612,27076903,27161677,28920759,32411697,40232654,39257409,40148645,40244838,39413240,38353331,44761545,42968077,38636062,36261330,35974254,43601195,53707815,55693225,55919348,50422751,57038135,54674238,55642376,53073703,48078814,49713130,57205813,62011456,82258592,77145330,79859983,74271185,80184089,84061010,80997447,82206990,82668809,82532141,101412511,96128926,112356630,127644305,129608105,131701394,140593700,137771360,127221133,127261149,128329764,144523105,134666174,138759463,139419704,148974425,136822190,138907990,158425460,156277337,158886586,144370533,142649523,157872390,166156924,163546444,159692674,165636255,163990848,161964218,167015980,163613504,171971019,158101650,130322940,Arabic
,,,,,,,,Korean,17482910,16690947,18425486,19453712,18817507,18080130,24014745,29280901,22401152,24032232,23589786,23733535,24500386,27471539,28920299,31295152,31809959,27769992,27754121,26190119,28413635,34062424,34542655,33300612,47777782,41425942,36396881,36932000,38683383,39789562,42079189,44363143,49003756,49540840,46917671,41971386,41353025,48032634,54092560,60043761,61557839,65654826,67009174,67402745,69242638,68387436,69678040,67255445,65226547,65030838,66502832,68013304,76363134,85535600,87824134,88936896,87405359,97486707,80087653,76018133,73197112,72904369,86171315,90390355,102426095,96010723,92178086,86292432,103420518,116027511,110363148,113891547,122786513,128552489,122654244,105311151,114019154,101005025,106062527,103230257,106038252,123351956,110606749,106787736,Korean
,,,,,,,,Persian,7209220,7244501,8179110,10101086,11218107,11016136,11147483,11127598,9642885,11901620,11808330,11901387,11629432,11545324,11762293,14342010,14885141,16304467,16871075,15968156,12295390,16944327,17458337,14694532,14306142,15992484,15594468,18081131,19006375,20860069,20909526,21867512,19564535,23929321,24162538,23113226,23755456,28524179,28837302,40675515,47710172,44535613,45273385,43692827,41972794,49209499,46804561,43873756,45987909,47748697,54110303,52736038,56652275,61532711,63708395,63015229,54090134,55846208,54969783,52166430,59342380,60152274,64582759,76208331,86842626,83879852,78078014,82428880,76863344,82482826,68706293,70654638,80904856,101984777,88210787,90137366,89746751,88940806,86417733,85552806,83547946,107038663,106400172,84825636,Persian
