timestamp,project:Other,project:Wikibooks,project:Wikinews,project:Wikipedia,project:Wikiquote,project:Wikisource,project:Wikiversity,project:Wiktionary
2008/01/01,1167008,0,0,9164471454,0,0,0,0
2008/02/01,584621,0,0,8851122261,0,0,0,0
2008/03/01,1085524,0,0,9197187621,0,0,0,0
2008/04/01,649450,0,0,9663618400,0,0,0,0
2008/05/01,63387970,19838729,7076424,10503249139,18121827,17490515,2951124,70790872
2008/06/01,144789435,42091265,15802957,10427686786,39583515,39098538,6813686,152426136
2008/07/01,163332726,36090501,13059264,9440707943,34530805,33375847,6270341,151156023
2008/08/01,183208830,34933052,12268179,9390825248,32970343,31382662,6193082,136843106
2008/09/01,183872206,35632091,11976202,10185588655,33470223,34081907,6763116,151406319
2008/10/01,181026343,37757449,13073610,10655295858,36688990,38474736,7330908,146925514
2008/11/01,167109390,33852796,12657205,10462708952,31933507,31586496,6905157,110643063
2008/12/01,191173849,30705595,13058844,10397956474,31681886,34600624,7318266,127967265
2009/01/01,225125626,33293531,13027334,11423108785,32204046,33862275,7230526,126919314
2009/02/01,215499712,30767207,12107086,10481483365,31049282,29727587,7173754,107139743
2009/03/01,254728622,35838889,14138801,11927184311,36928587,37690058,7788149,129829794
2009/04/01,220663227,29657692,12102127,10922457895,33629876,33101011,6521876,108937339
2009/05/01,239501442,32594938,12784289,11745293120,38216094,35894654,7402798,123746826
2009/06/01,226589464,33127546,14021881,11052879873,36298425,33918376,7472896,122375294
2009/07/01,218007045,31007980,13394997,10672608525,40179610,32018938,7147718,127235449
2009/08/01,210983172,34201161,15683763,10832239692,40341826,38202978,9536279,139081951
2009/09/01,215413362,38155115,17296530,11385107278,40218086,42130986,10312313,146518398
2009/10/01,297514580,44124875,21912177,12032381504,41013609,58025218,13643792,177068352
2009/11/01,279544055,40590285,18730737,11410668035,44784647,55604104,12440065,171909684
2009/12/01,273838710,38192257,19630389,10401520168,41357447,60478925,12180532,178918086
2010/01/01,272489473,37250094,17609620,11797808815,40405002,52408599,10135303,180669925
2010/02/01,233821030,34257857,15237223,11169643075,44739017,42547398,9583801,147648834
2010/03/01,222258399,34401233,13582096,12125757285,42248958,41095546,8070630,134050531
2010/04/01,215249283,37579677,13808908,14553881257,43136370,37320126,7406908,135352294
2010/05/01,220681399,37984084,13496461,15233387303,42093413,37759509,7432528,151812446
2010/06/01,187243450,31392174,11408399,13962066751,33968324,31607196,6349049,133239296
2010/07/01,189301510,28575526,11795604,13565409316,30556031,27008763,6412447,126999507
2010/08/01,189087635,28352608,10367760,13402790535,35677853,25967517,6004370,117348586
2010/09/01,194420964,31552942,10370801,13675479572,34882585,30546562,6825679,129213114
2010/10/01,210554170,33273160,10924417,14112009530,35905191,35081253,7350016,136584715
2010/11/01,203406892,35165858,10929603,13982231022,39807952,37543260,7285965,141676147
2010/12/01,206771365,31140406,12301393,13371054619,37402083,37387229,7265945,146955001
2011/01/01,218808735,32714389,12690620,14799564915,41116084,38729303,7614250,170000078
2011/02/01,226670244,31922982,12425988,13407556074,39248887,38260156,7406532,165353423
2011/03/01,203478382,34012956,13123662,14575043379,45849405,38169017,7863758,163855483
2011/04/01,180625271,30709836,12501283,13489919565,50405372,32529026,6909730,154054181
2011/05/01,193105787,33961510,11672538,14354183863,53911838,35533317,7116154,175020094
2011/06/01,227727225,32648377,11919964,13384782815,56201394,35022754,7329143,178522993
2011/07/01,249329269,30791280,13744792,13161075881,57525883,38021357,7500526,184905639
2011/08/01,263852209,32876677,14151589,14044928862,55018361,33697549,7565890,183103114
2011/09/01,261480533,35426523,11827259,14299084573,58314348,36092104,7599113,256834116
2011/10/01,287311947,44470667,16522842,15479907565,73690572,46102182,9182229,587973257
2011/11/01,260936835,40801466,13195136,15262280552,77357702,49575283,8381542,402218524
2011/12/01,280579500,39269188,13717142,14643751712,84850638,45806067,7654825,231114577
2012/01/01,305228787,41858408,13884410,15922837159,88854210,47624107,8453193,511490420
2012/02/01,245396439,36800580,11770181,13577073538,82656640,39832225,6801284,191013292
