Date,Wikimedia Android,Other Android,Wikimedia iOS,Other iOS,Unspecified
2011/11/01,,4200000,33000,13000000,41000
2011/12/01,,5000000,14000,20300000,28000
2012/01/01,,4800000,78000,17800000,21000
2012/02/01,23800000,5000000,109000,19900000,13000
2012/03/01,29700000,5000000,16000,18500000,13000
