Month,Total Internet,Google,Microsoft,Facebook,Wikimedia,Yahoo!,Amazon,Apple,AOL,Ask Network,eBay,CBS,Tencent,Glam Media,Baidu
2012/01/01,1450588000,1107467000,889202000,805604000,482157000,0,368190000,302250000,218280000,266079000,254801000,259109000,252822000,232000000,250655000
2011/12/01,1444092000,1092912000,897860000,794349000,457063000,0,366199000,295771000,221648000,239319000,241919000,245870000,248644000,216334000,246108000
2011/11/01,1438877000,1081821000,886560000,792999000,474723000,0,350769000,285234000,219953000,245416000,243222000,238148000,248554000,209031000,241368000
2011/10/01,1431939000,1083316000,878510000,788181000,476627000,0,338444000,299360000,224822000,255792000,244368000,244382000,249286000,210711000,243226000
2011/09/01,1420316000,1066695000,914237000,769655000,454529000,0,319548000,264537000,220379000,240805000,232945000,242571000,245220000,206764000,237997000
2011/08/01,1411178000,1048918000,887917000,752382000,422779000,0,302455000,260749000,227538000,227266000,230320000,226901000,243094000,202836000,231609000
2011/07/01,1394031000,1031584000,898728000,736465000,393543000,0,288766000,256743000,227626000,217771000,224511000,217962000,237849000,200757000,225898000
2011/06/01,1383098000,1023643000,882818000,734240000,399362000,0,282233000,246889000,231564000,212548000,223520000,214019000,229175000,203630000,215086000
2011/05/01,1373976000,1009699000,905454000,713647000,411061000,0,284321000,244182000,238860000,224060000,225893000,220230000,220707000,213528000,211060000
2011/04/01,1362369000,990970000,892893000,697970000,380716000,0,268611000,228366000,237258000,220341000,215085000,217686000,216190000,200186000,201227000
2011/03/01,1350539000,996706000,895813000,692998000,400011000,0,271264000,234944000,247697000,236956000,218809000,234656000,214254000,204134000,202995000
2011/02/01,1339496000,976374000,837039000,676733000,379415000,0,233765000,221271000,229394000,220019000,211945000,210949000,207793000,194173000,192845000
2011/01/01,1333403000,985289000,889163000,675361000,413957000,0,258169000,236347000,243275000,234884000,226079000,226135000,208512000,202299000,190956000
2010/12/01,1323535000,972486000,867914000,662420000,395472000,0,263450000,240557000,239550000,233444000,225280000,221362000,215211000,196886000,185005000
2010/11/01,1313926000,970109000,869373000,647482000,410816000,0,252698000,228285000,239205000,233155000,229915000,229265000,211656000,197937000,184703000
2010/10/01,1304632000,976693000,840677000,633548000,408350000,0,245082000,227768000,232439000,225397000,222283000,222329000,204266000,181888000,185318000
2010/09/01,1294784000,976431000,827496000,620269000,398178000,0,234334000,226129000,218426000,221821000,221574000,223388000,197617000,179892000,184728000
2010/08/01,1285378000,971045000,814562000,598084000,373392000,0,237156000,219498000,221158000,216371000,222435000,3202000,191021000,186414000,181984000
2010/07/01,1261762000,952484000,800636000,571480000,360225000,0,230554000,212905000,248233000,211622000,217586000,209288000,182572000,173248000,179920000
2010/06/01,1253406000,942199000,799898000,550939000,379112000,0,221785000,213671000,255895000,208313000,217671000,204162000,177789000,167420000,174672000
2010/05/01,1244104000,931583000,789035000,548134000,388932000,0,228083000,213166000,266787000,215039000,252803000,211496000,175771000,164189000,180965000
2010/04/01,1231777000,921153000,728546000,519076000,374846000,0,222873000,212251000,263704000,223251000,253924000,204916000,173092000,163918000,174710000
2010/03/01,1219389000,907371000,757017000,484209000,370744000,0,230804000,201406000,262514000,225365000,255651000,210468000,172822000,164100000,169952000
2010/02/01,1203547000,883498000,734981000,462682000,345218000,0,224564000,190382000,255999000,214937000,241811000,190589000,168183000,158082000,163041000
2010/01/01,1237448000,919720000,734177000,471447000,364719000,0,244658000,204258000,267055000,227804000,259866000,211785000,156423000,163824000,157107000
2009/12/01,1222237000,899426000,727410000,468708000,347020000,0,240584000,209500000,268197000,215730000,262746000,211360000,153376000,159793000,152199000
2009/11/01,1206051000,889522000,730348000,438146000,345805000,0,223851000,192620000,256386000,213975000,246712000,201809000,152325000,140755000,152398000
2009/10/01,1190150960,891948998,732862095,430208903,344563338,0,212204203,187990636,258391659,209779000,243460647,201899167,151019122,134384615,152490000
2009/09/01,1179318237,879175953,717909861,410952850,325998220,0,201903853,183162618,255088138,207555000,239633702,195793801,149802565,125516413,147472000
2009/08/01,1165193688,867617643,707802794,389524974,307641428,0,200671325,176467563,260546620,189937000,243334566,194036025,145701020,112687633,145573000
2009/07/01,1151380737,853819724,701833783,369551030,295484362,0,197306209,177227079,268382654,191752000,236818724,195694856,292795948,114546529,145361000
2009/06/01,1135655524,844245495,691361915,340011382,302939583,0,185035212,173022287,279555544,173766000,233483267,185679000,304383897,110407926,148322000
2009/05/01,1122330925,840410223,682204540,315999937,317254958,0,188601849,166754071,286825593,171613000,238147630,185351245,296338559,117662608,152087000
2009/04/01,1108030946,845622755,690985683,307100669,320042850,0,192441333,167911804,290751439,169916000,246146758,192200194,308955570,110811407,147447000
2009/03/01,1092598409,830662907,692478942,294674675,327147671,0,194927843,170395053,285516952,172552000,250155801,202560045,309166693,108824000,147281000
2009/02/01,1078911086,816983240,675271648,275642122,300751440,0,183002729,158271877,276793340,164566000,234560495,185641670,311206585,102198000,147589000
2009/01/01,1020582000,771553000,632548000,236292000,289811000,0,188202000,157639000,271016000,164191000,231552000,180319000,156047000,103134000,147419000
2008/12/01,1007730000,775980000,646915000,221791000,272998000,0,187354000,161500000,273020000,164513000,240947000,178844000,158617000,110577000,152447000
2008/11/01,996304000,758588000,638570000,200189000,280969000,0,169903000,147928000,268312000,160489000,233173000,171724000,157213000,95166000,148748000
2008/10/01,984396000,753081000,639829000,181772000,277208000,0,159807000,145753000,267783000,153488000,233044000,174183000,155708000,97589000,149514000
