Date,All editors,Active editors (5>edits),Very editors (100>edits),New editors (<6 month old)
2001-01,57.0,47.0,0.0,57.0
2001-02,259.0,246.0,0.0,259.0
2001-03,618.0,590.0,105.0,618.0
2001-04,307.0,274.0,0.0,307.0
2001-05,906.0,880.0,343.0,906.0
2001-06,516.0,483.0,0.0,516.0
2001-07,971.0,845.0,0.0,904.0
2001-08,1868.0,1746.0,600.0,1786.0
2001-09,3428.0,3189.0,1317.0,2884.0
2001-10,6136.0,5965.0,3498.0,5461.0
2001-11,10042.0,9896.0,6990.0,8241.0
2001-12,13927.0,13725.0,10394.0,12375.0
2002-01,9217.0,9106.0,6053.0,6982.0
2002-02,14666.0,14445.0,11228.0,9859.0
2002-03,17101.0,16918.0,13608.0,10251.0
2002-04,14978.0,14809.0,11317.0,8912.0
2002-05,12476.0,12312.0,9582.0,7174.0
2002-06,20853.0,20631.0,17549.0,12641.0
2002-07,24015.0,23787.0,20881.0,10573.0
2002-08,45972.0,45697.0,41028.0,16565.0
2002-09,68076.0,67722.0,61656.0,29846.0
2002-10,91890.0,91440.0,86029.0,64003.0
2002-11,46713.0,46268.0,40292.0,24417.0
2002-12,49450.0,48954.0,40963.0,23677.0
2003-01,70680.0,69829.0,59478.0,30591.0
2003-02,65342.0,64593.0,51963.0,28497.0
2003-03,69109.0,68373.0,57410.0,30126.0
2003-04,71358.0,70677.0,59588.0,33034.0
2003-05,92887.0,91834.0,78008.0,36476.0
2003-06,91684.0,90597.0,74902.0,34318.0
2003-07,98432.0,96860.0,78154.0,35565.0
2003-08,123433.0,121725.0,100534.0,46847.0
2003-09,110009.0,108174.0,88942.0,41321.0
2003-10,118666.0,116560.0,94560.0,47744.0
2003-11,166484.0,164301.0,138673.0,75610.0
2003-12,183571.0,181332.0,151814.0,94006.0
2004-01,181961.0,179129.0,147172.0,95049.0
2004-02,253899.0,250262.0,207664.0,125305.0
2004-03,360405.0,355548.0,299946.0,186842.0
2004-04,334330.0,329072.0,271410.0,166032.0
2004-05,344343.0,338651.0,276094.0,170118.0
2004-06,431497.0,424621.0,360022.0,199179.0
2004-07,499381.0,492291.0,416594.0,279088.0
2004-08,533670.0,525417.0,445594.0,270910.0
2004-09,523688.0,514218.0,424017.0,224500.0
2004-10,552752.0,541589.0,439471.0,240992.0
2004-11,650657.0,637774.0,522699.0,289196.0
2004-12,679466.0,665441.0,535738.0,291083.0
2005-01,600508.0,585588.0,461685.0,243861.0
2005-02,598686.0,583126.0,456632.0,246137.0
2005-03,776583.0,758220.0,604667.0,319052.0
2005-04,947492.0,925901.0,741999.0,394930.0
2005-05,982241.0,958647.0,761375.0,403216.0
2005-06,1094577.0,1069220.0,854078.0,448572.0
2005-07,1328823.0,1297318.0,1037385.0,567822.0
2005-08,1434417.0,1398399.0,1106084.0,611788.0
2005-09,1345792.0,1309674.0,1040724.0,586078.0
2005-10,1527455.0,1484787.0,1177628.0,626641.0
2005-11,1600566.0,1554473.0,1242722.0,696388.0
2005-12,2310853.0,2244907.0,1781923.0,967923.0
2006-01,2656007.0,2581499.0,2058396.0,1108732.0
