timestamp,
2008-01,8869972707
2008-02,9156938156
2008-03,8901554659
2008-04,9664267850
2008-05,10357651555
2008-06,10868292318
2008-07,9559861402
2008-08,9511572095
2008-09,10642790719
2008-10,10757974264
2008-11,10857396566
2008-12,10484963997
2009-01,11511069131
2009-02,11694586855
2009-03,12042703754
2009-04,11367071043
2009-05,11840742728
2009-06,11526683755
2009-07,10782193796
2009-08,10955100797
2009-09,11895152068
2009-10,12276468490
2009-11,12034271612
2009-12,10670435338
2010-01,12008493716
2010-02,12533012395
2010-03,12214320671
2010-04,15043734823
2010-05,15236755304
2010-06,14605554949
2010-07,13907027613
2010-08,13770876533
2010-09,14538677955
2010-10,14543918682
2010-11,14949840959
2010-12,13959148844
2011-01,15507532452
2011-02,15616226655
2011-03,15217801643
2011-04,14685887461
2011-05,15147995033
2011-06,14735707221
2011-07,14156982809
2011-08,15080037966
2011-09,15853761784
2011-10,17122586584
2011-11,17440471302
2011-12,16385572422
2012-01,18075206772
2012-02,16176377394
