Date,Total,Non-autoconfirmed,Autoconfirmed,Autopatrolled
2001-01,39,3,36,0
2001-02,95,2,93,0
2001-03,134,4,130,0
2001-04,51,0,51,0
2001-05,155,0,155,0
2001-06,78,0,78,2
2001-07,143,3,140,0
2001-08,236,3,233,2
2001-09,384,4,380,1
2001-10,532,5,527,11
2001-11,406,5,401,10
2001-12,347,0,347,10
2002-01,384,3,381,9
2002-02,2154,17,2137,133
2002-03,2322,20,2302,172
2002-04,1866,17,1849,110
2002-05,1843,25,1818,43
2002-06,3381,11,3370,49
2002-07,3286,10,3276,87
2002-08,5638,9,5629,245
2002-09,11518,34,11484,219
2002-10,37921,42,37879,392
2002-11,5176,27,5149,579
2002-12,4434,35,4399,290
2003-01,6613,63,6550,500
2003-02,5891,68,5823,176
2003-03,6794,55,6739,352
2003-04,7012,31,6981,199
2003-05,9044,82,8962,425
2003-06,7926,59,7867,278
2003-07,11764,112,11652,602
2003-08,10055,109,9946,683
2003-09,10685,81,10604,1412
2003-10,9616,90,9526,768
2003-11,14741,141,14600,873
2003-12,16394,107,16287,691
2004-01,16223,158,16065,643
2004-02,21670,188,21482,1642
2004-03,34464,285,34179,1835
2004-04,27677,268,27409,2688
2004-05,27707,245,27462,1723
2004-06,29794,222,29572,3044
2004-07,60035,282,59753,3441
2004-08,31117,426,30691,3447
2004-09,32199,380,31819,3138
2004-10,34280,485,33795,3062
2004-11,38138,491,37647,2648
2004-12,49587,453,49134,3128
2005-01,33891,472,33419,3135
2005-02,30340,510,29830,2891
2005-03,41002,584,40418,3538
2005-04,52237,642,51595,4949
2005-05,48748,735,48013,5066
2005-06,65460,753,64707,6523
2005-07,67377,1026,66351,7324
2005-08,73681,1138,72543,7774
2005-09,59503,967,58536,7423
2005-10,64291,1193,63098,8674
2005-11,66117,1721,64396,8417
2005-12,93316,4356,88960,11884
2006-01,110332,4956,105376,14323
2006-02,97469,4963,92506,10939
2006-03,111015,5768,105247,12680
2006-04,110072,5577,104495,14623
2006-05,120814,5888,114926,16114
2006-06,124800,5285,119515,17288
2006-07,132696,5528,127168,23518
2006-08,139070,6435,132635,26080
2006-09,118490,5401,113089,23164
2006-10,122242,5328,116914,23957
2006-11,121104,5778,115326,23656
2006-12,123069,6019,117050,20118
2007-01,122205,6654,115551,22694
2007-02,118578,6667,111911,22882
2007-03,120332,7027,113305,26601
2007-04,117443,6383,111060,25386
2007-05,120541,6587,113954,26670
2007-06,130750,6004,124746,26807
2007-07,156211,6286,149925,30603
2007-08,142107,11239,130868,30451
2007-09,152756,31706,121050,34600
2007-10,158960,36046,122914,31940
2007-11,172535,33815,138720,32113
2007-12,159993,25629,134364,30945
2008-01,167810,25341,142469,37334
2008-02,151565,26756,124809,49022
2008-03,279347,29479,249868,37243
2008-04,143408,32605,110803,34635
2008-05,141629,31307,110322,35957
2008-06,139314,24736,114578,35290
2008-07,143728,24422,119306,36636
2008-08,155515,23950,131565,38229
2008-09,125228,25550,99678,31228
2008-10,171608,28883,142725,34722
2008-11,122365,29032,93333,34531
2008-12,123889,27015,96874,36060
2009-01,133976,27511,106465,35751
2009-02,133906,27365,106541,31750
2009-03,151660,28447,123213,42852
2009-04,136199,23521,112678,42449
2009-05,122532,22954,99578,37447
2009-06,156535,20431,136104,42252
2009-07,137150,22308,114842,55432
2009-08,128736,21353,107383,47358
2009-09,107433,21475,85958,36454
2009-10,111079,23893,87186,35913
2009-11,107629,24634,82995,33073
2009-12,116760,22064,94696,35560
2010-01,117705,23434,94271,42904
2010-02,104173,23600,80573,33006
2010-03,111183,25250,85933,32774
2010-04,119431,19858,99573,32907
2010-05,117727,17467,100260,30518
2010-06,114150,15086,99064,30150
2010-07,93221,14612,78609,31775
2010-08,175430,14846,160584,34068
2010-09,95552,15058,80494,36527
2010-10,94129,16262,77867,34953
2010-11,129658,15846,113812,71976
2010-12,148564,15078,133486,92429
2011-01,100313,16291,84022,37855
2011-02,87747,15580,72167,31141
2011-03,91564,16603,74961,33479
2011-04,96825,15288,81537,31359
2011-05,88465,14902,73563,33002
2011-06,92399,13816,78583,36019
2011-07,90952,12975,77977,33908
2011-08,93167,12789,80378,36332
2011-09,89525,12635,76890,33562
2011-10,91345,11928,79417,33014
2011-11,84933,11750,73183,30106
2011-12,79058,10795,68263,29060
2012-01,82547,10736,71811,28531
