Date,1 edit,2-5 edits,6-50 edits,51-100 edits,101-500 edits,501-1000 edits,>1000 edits
2001-01,8.0,2.0,3.0,0.0,0.0,0.0,0.0
2001-02,5.0,4.0,6.0,2.0,0.0,0.0,0.0
2001-03,12.0,10.0,17.0,2.0,1.0,0.0,0.0
2001-04,5.0,14.0,12.0,1.0,0.0,0.0,0.0
2001-05,9.0,7.0,15.0,3.0,1.0,0.0,0.0
2001-06,14.0,7.0,17.0,2.0,0.0,0.0,0.0
2001-07,42.0,36.0,34.0,3.0,0.0,0.0,0.0
2001-08,34.0,34.0,39.0,5.0,3.0,0.0,0.0
2001-09,71.0,66.0,47.0,14.0,7.0,0.0,0.0
2001-10,48.0,54.0,64.0,18.0,14.0,1.0,0.0
2001-11,37.0,49.0,77.0,20.0,28.0,2.0,0.0
2001-12,58.0,57.0,68.0,26.0,34.0,4.0,0.0
2002-01,24.0,40.0,75.0,21.0,27.0,1.0,0.0
2002-02,71.0,71.0,92.0,18.0,36.0,5.0,0.0
2002-03,46.0,57.0,101.0,20.0,44.0,6.0,0.0
2002-04,40.0,56.0,82.0,24.0,31.0,3.0,2.0
2002-05,39.0,58.0,80.0,18.0,30.0,1.0,2.0
2002-06,56.0,74.0,78.0,23.0,39.0,5.0,3.0
2002-07,61.0,72.0,104.0,14.0,40.0,14.0,2.0
2002-08,75.0,88.0,143.0,25.0,59.0,15.0,11.0
2002-09,102.0,117.0,161.0,40.0,83.0,12.0,13.0
2002-10,104.0,151.0,195.0,26.0,90.0,19.0,11.0
2002-11,114.0,153.0,186.0,36.0,73.0,17.0,7.0
2002-12,124.0,164.0,204.0,57.0,86.0,17.0,5.0
2003-01,203.0,272.0,295.0,74.0,107.0,20.0,14.0
2003-02,178.0,248.0,347.0,82.0,97.0,25.0,5.0
2003-03,172.0,249.0,318.0,59.0,89.0,26.0,11.0
2003-04,155.0,224.0,304.0,78.0,110.0,21.0,14.0
2003-05,222.0,347.0,409.0,89.0,125.0,28.0,16.0
2003-06,296.0,354.0,488.0,95.0,140.0,35.0,13.0
2003-07,398.0,510.0,585.0,106.0,155.0,34.0,13.0
2003-08,437.0,550.0,632.0,135.0,199.0,41.0,18.0
2003-09,454.0,583.0,599.0,120.0,203.0,31.0,10.0
2003-10,503.0,690.0,777.0,118.0,206.0,31.0,17.0
2003-11,541.0,699.0,780.0,152.0,241.0,43.0,32.0
2003-12,509.0,738.0,844.0,202.0,252.0,54.0,28.0
2004-01,652.0,924.0,996.0,192.0,288.0,46.0,32.0
2004-02,889.0,1192.0,1385.0,233.0,354.0,71.0,47.0
2004-03,1124.0,1585.0,1833.0,319.0,452.0,106.0,71.0
2004-04,1259.0,1683.0,1854.0,341.0,475.0,97.0,61.0
2004-05,1408.0,1855.0,2018.0,357.0,483.0,111.0,55.0
2004-06,2198.0,1994.0,2111.0,378.0,515.0,90.0,95.0
2004-07,1692.0,2319.0,2589.0,411.0,579.0,124.0,84.0
2004-08,1927.0,2630.0,2719.0,446.0,639.0,138.0,103.0
2004-09,2435.0,2953.0,3079.0,503.0,730.0,149.0,89.0
2004-10,2687.0,3597.0,3503.0,572.0,774.0,140.0,98.0
2004-11,3283.0,4117.0,4009.0,641.0,904.0,182.0,115.0
2004-12,3389.0,4524.0,4455.0,695.0,928.0,184.0,115.0
2005-01,3690.0,4786.0,4494.0,626.0,921.0,160.0,83.0
2005-02,3975.0,4894.0,4426.0,698.0,891.0,173.0,84.0
2005-03,4678.0,5870.0,5580.0,798.0,1059.0,215.0,121.0
2005-04,5446.0,6788.0,6507.0,1013.0,1295.0,262.0,151.0
2005-05,5773.0,7582.0,7096.0,1031.0,1380.0,271.0,155.0
2005-06,6131.0,8152.0,7628.0,1141.0,1515.0,312.0,176.0
2005-07,8037.0,9952.0,9522.0,1311.0,1801.0,380.0,215.0
2005-08,9071.0,11410.0,10617.0,1537.0,1947.0,387.0,241.0
2005-09,9399.0,11329.0,10092.0,1346.0,1751.0,374.0,182.0
2005-10,11305.0,13340.0,11722.0,1534.0,1977.0,418.0,251.0
2005-11,12585.0,14269.0,11922.0,1542.0,2005.0,437.0,258.0
2005-12,16763.0,20744.0,17845.0,2269.0,2863.0,597.0,392.0
2006-01,19481.0,23473.0,20009.0,2560.0,3343.0,690.0,458.0
2006-02,23155.0,26560.0,21349.0,2596.0,3359.0,668.0,377.0
2006-03,28475.0,32530.0,24820.0,2978.0,3719.0,695.0,435.0
2006-04,29440.0,33779.0,25746.0,3059.0,3742.0,711.0,405.0
2006-05,33174.0,37643.0,28658.0,3336.0,4082.0,792.0,495.0
2006-06,33311.0,38031.0,29621.0,3518.0,4325.0,840.0,488.0
2006-07,35988.0,40867.0,31339.0,3664.0,4676.0,846.0,477.0
2006-08,41546.0,46919.0,34974.0,3998.0,4817.0,935.0,526.0
2006-09,43296.0,47923.0,34128.0,3742.0,4531.0,800.0,482.0
2006-10,47171.0,52187.0,35946.0,3803.0,4638.0,825.0,553.0
2006-11,52223.0,57205.0,38334.0,3927.0,4717.0,882.0,565.0
2006-12,52350.0,57609.0,38722.0,4076.0,5015.0,829.0,575.0
2007-01,57827.0,63838.0,42012.0,4275.0,5198.0,989.0,675.0
2007-02,60470.0,65742.0,42301.0,4043.0,5084.0,978.0,579.0
2007-03,64821.0,70815.0,44845.0,4364.0,5278.0,1043.0,720.0
2007-04,63114.0,68988.0,43959.0,4336.0,5221.0,1038.0,666.0
2007-05,61052.0,66413.0,43021.0,4282.0,5137.0,1008.0,685.0
2007-06,52763.0,57386.0,37985.0,3954.0,4930.0,986.0,575.0
2007-07,53791.0,57618.0,38672.0,4211.0,4949.0,951.0,589.0
2007-08,54887.0,57905.0,37592.0,3897.0,4694.0,968.0,599.0
2007-09,57660.0,59926.0,36794.0,3682.0,4563.0,952.0,546.0
2007-10,61089.0,63506.0,38321.0,3722.0,4580.0,865.0,611.0
2007-11,57716.0,59456.0,36024.0,3575.0,4412.0,883.0,557.0
2007-12,52021.0,54037.0,33907.0,3421.0,4291.0,855.0,572.0
2008-01,58380.0,60841.0,36968.0,3600.0,4432.0,945.0,711.0
2008-02,59054.0,61168.0,37048.0,3540.0,4370.0,924.0,632.0
2008-03,61566.0,64411.0,38704.0,3663.0,4664.0,962.0,710.0
2008-04,61052.0,62779.0,38017.0,3622.0,4517.0,926.0,659.0
2008-05,58962.0,61866.0,36965.0,3709.0,4410.0,925.0,640.0
2008-06,52302.0,54090.0,34396.0,3538.0,4357.0,872.0,587.0
2008-07,51095.0,53445.0,34468.0,3599.0,4479.0,896.0,636.0
2008-08,51922.0,53018.0,33952.0,3574.0,4389.0,869.0,609.0
2008-09,54771.0,54861.0,32983.0,3313.0,4079.0,870.0,575.0
2008-10,58209.0,59007.0,34490.0,3381.0,4059.0,838.0,661.0
2008-11,55610.0,55983.0,32870.0,3248.0,3969.0,826.0,553.0
2008-12,53139.0,53659.0,32331.0,3358.0,4014.0,818.0,555.0
2009-01,58194.0,58107.0,34892.0,3355.0,4304.0,890.0,630.0
2009-02,56684.0,56663.0,33550.0,3234.0,4009.0,832.0,539.0
2009-03,59045.0,59413.0,35504.0,3484.0,4157.0,868.0,643.0
2009-04,56517.0,55468.0,33639.0,3371.0,4029.0,820.0,588.0
2009-05,57528.0,57225.0,33853.0,3423.0,4098.0,900.0,561.0
2009-06,54006.0,54643.0,33061.0,3362.0,4042.0,823.0,538.0
