Month,Russian,French,English,German,Japanese,Spanish
2008-01,104550248,379980391,4931463382,864149042,959744733,381836418
2008-02,102662929,357271575,4818394146,805618836,901382963,443116658
2008-03,104736611,391044793,4955406354,821957327,893580385,449703962
2008-04,117839210,376371983,5167217106,844553155,892730800,554157197
2008-05,137672971,419010917,5623416037,839377344,1107845361,600625284
2008-06,133362125,427450358,5800641000,851263108,984204283,583365727
2008-07,124378878,347320579,5392705557,806415033,1011373555,471971990
2008-08,132800341,346675137,5222314524,827377238,1006941898,558823619
2008-09,165001790,437072323,5570654789,841199472,1002224719,653031390
2008-10,186374760,470880559,5780141285,881744090,1011640070,694827224
2008-11,197833704,479781163,5490300772,1028217165,929376786,631402606
2008-12,238843985,442056978,5290825556,1501314135,900709732,454236081
2009-01,258846609,542609452,5881990820,1334426310,1058174166,553241089
2009-02,249227140,486664955,5621890126,935972638,951635097,630633751
2009-03,300994995,562679496,6381088881,1035066800,1001780991,746085048
2009-04,281407735,543400759,6063471357,839545280,939148676,633556642
2009-05,302420406,570220948,6349248903,930663962,1093286486,747892952
2009-06,293949393,512096229,5899435922,934287020,1080465101,700447186
2009-07,264652731,444831887,5886250165,875805889,1111910665,597647291
2009-08,280054829,451418338,5885516618,867129207,1096748348,704895125
2009-09,314790456,504876968,6033487105,916437636,1040554450,819987884
2009-10,360311605,579502997,6352404933,942112234,1082110309,835422055
2009-11,362573970,560936371,5942791966,937596308,1023935224,764746270
2009-12,366360908,518070192,5536267603,813729511,985008060,529238717
2010-01,402427265,596418123,6188862237,975342734,1124774674,640570064
2010-02,397040838,526440785,5912505831,856918324,994692525,737314806
2010-03,381599385,538464869,6762546654,857165262,1017697708,777654305
2010-04,450317975,575347362,8309578254,980836321,1158260966,967804119
2010-05,495580831,624302077,8497303403,1052841918,1324684750,1046983788
2010-06,460094309,557851235,7791375744,967290098,1248376674,946904471
2010-07,398993050,510932096,7797137510,936860922,1294329629,788319775
2010-08,421442154,535486667,7472456878,975238598,1233326340,900841660
2010-09,495794623,603190016,7357870568,994492338,1171155452,1018206885
2010-10,544212902,635093203,7553028501,1013309687,1196184100,1054581105
2010-11,571156497,670774772,7305028376,1068348609,1157802053,1028761156
2010-12,605464709,653430060,7129771205,997193190,1098442915,769012578
2011-01,663101354,731320263,7774080666,1192610225,1208292862,891581046
2011-02,615683494,624044802,7050157371,941412813,1091557939,942156540
2011-03,667464057,690883579,7478098886,1029473600,1167048172,1100153134
2011-04,639578156,634372319,6977645526,895479294,1104212100,950852132
2011-05,667975194,684481281,7168932573,1063425226,1203170849,1096728259
2011-06,618399525,641153270,6735199683,1001124592,1135563010,964322952
2011-07,579490186,631954303,6743450203,985143084,1182495757,870793689
2011-08,595406722,681256864,7031897618,990496516,1255363848,1061242166
2011-09,657765908,696213326,7057984512,983634459,1205209581,1167417540
2011-10,746571706,779401566,7598245054,1045075263,1226385441,1239898946
2011-11,685245996,695820031,6888235672,951831337,1038687322,1053825797
