Date,Overall,English,Japanese,Spanish,German,Russian,French,Italian,Polish,Portuguese,Chinese,Dutch
2012-02,1701000000,1017000000,230000000,80700000,83700000,55700000,60600000,38100000,9700000,14900000,13500000,12600000
2012-01,1681000000,1020000000,225000000,73500000,85600000,52200000,58600000,36700000,9900000,13800000,10200000,13700000
2011-12,1534000000,945000000,190000000,61300000,74900000,52500000,53300000,33000000,9300000,13300000,9400000,12300000
2011-11,1326000000,807000000,173000000,60300000,62200000,44900000,45300000,25400000,7600000,13700000,7900000,10000000
2011-10,1111000000,687000000,143000000,51300000,48800000,37900000,36200000,19400000,5600000,11700000,6400000,8100000
2011-09,887000000,557000000,115000000,42300000,35100000,26100000,27800000,16000000,4100000,9700000,5000000,6300000
2011-08,917000000,590000000,112000000,40800000,36000000,23300000,32600000,17600000,3700000,8300000,5300000,7100000
2011-07,857000000,572000000,108000000,29300000,34100000,19500000,28200000,13400000,3100000,5000000,4000000,6500000
2011-06,802000000,528000000,96800000,27700000,35100000,22100000,28600000,13100000,3200000,5000000,4200000,6500000
2011-05,763000000,498000000,95900000,27300000,32200000,21900000,27700000,12300000,3200000,4500000,3900000,6000000
2011-04,728000000,485000000,85500000,24300000,30600000,21500000,26600000,11300000,3000000,3900000,3800000,5400000
2011-03,623000000,413000000,71500000,20500000,28300000,19200000,24400000,10700000,2900000,3300000,3800000,5000000
2011-02,692000000,474000000,72000000,20700000,29600000,20000000,26500000,12000000,2900000,3400000,3600000,5800000
2011-01,681000000,474000000,66000000,18200000,31100000,19700000,26000000,11100000,2800000,3000000,3400000,5300000
2010-12,556000000,396000000,46500000,13300000,23400000,17800000,21000000,8100000,2200000,2400000,3200000,4500000
2010-11,492000000,350000000,39600000,12800000,20800000,15000000,19200000,7200000,2000000,2400000,2600000,3700000
2010-10,433000000,314000000,31900000,11500000,17400000,12400000,16100000,5900000,1600000,1900000,1800000,3300000
2010-09,425000000,309000000,33400000,11800000,17200000,10500000,16300000,6200000,1500000,1800000,1200000,3100000
2010-08,401000000,293000000,33100000,10600000,15300000,8600000,15800000,6200000,1200000,1400000,1200000,2900000
2010-07,372000000,278000000,28400000,9000000,13700000,8100000,12900000,4900000,1200000,1200000,1100000,2400000
2010-06,208000000,148000000,17800000,4100000,9400000,7100000,8200000,3600000,804000,888000,1200000,2200000

