Month,Europe,North America,Latin America,World-Wide,Middle East - Africa,India,Asia Pacific,China
2012-01,48.1,47.3,36.3,33.2,32.9,36.4,18.1,2.6
2011-12,45.5,44.8,35.0,31.7,31.6,35.1,17.4,2.7
2011-11,47.1,44.7,44.2,33.0,31.5,35.4,17.7,2.2
2011-10,47.0,45.4,45.3,33.3,32.2,34.9,17.9,2.2
2011-09,44.6,44.4,45.5,32.0,29.0,35.6,17.4,1.7
2011-08,40.9,42.4,43.0,30.0,25.9,35.4,16.7,1.6
2011-07,39.6,40.5,35.4,28.2,24.6,33.6,15.7,1.5
2011-06,41.7,39.1,39.6,28.9,25.8,32.1,15.2,1.2
2011-05,44.0,39.5,41.6,29.9,28.5,31.4,15.1,1.1
2011-04,40.8,38.0,38.7,27.9,25.7,29.6,14.0,0.9
2011-03,43.1,40.1,41.3,29.6,28.0,30.4,14.7,0.9
2011-02,41.6,39.4,36.3,28.3,25.8,30.6,14.2,0.9
2011-01,46.4,43.2,35.0,31.0,28.2,35.9,15.9,1.0
2010-12,43.6,42.7,34.8,29.9,27.4,33.7,15.2,1.2
2010-11,45.8,42.0,42.4,31.3,27.6,33.1,15.7,1.1
2010-10,44.4,42.7,41.6,31.3,30.1,33.5,16.0,1.1
2010-09,43.5,41.9,42.2,30.8,26.5,33.3,16.1,1.1
2010-08,39.6,39.7,39.9,29.0,24.4,33.0,16.2,1.0
2010-07,39.3,39.0,35.9,28.5,24.4,32.4,15.9,0.9
2010-06,43.0,38.9,41.8,30.2,25.6,31.6,16.1,1.0
2010-05,43.0,41.5,44.1,31.3,29.2,30.1,16.3,1.0
2010-04,41.4,40.9,43.2,30.4,28.1,28.4,15.9,1.6
2010-03,40.8,41.0,43.1,30.4,28.3,27.7,16.2,1.4
2010-02,39.2,39.9,36.7,28.7,24.9,26.4,15.3,1.2
2010-01,40.3,41.1,33.5,29.5,27.2,27.4,17.4,1.4
2009-12,38.6,39.1,32.5,28.4,28.3,26.3,16.7,1.5
2009-11,39.0,38.5,38.4,28.7,26.2,25.8,16.5,1.6
2009-10,39.0,38.2,39.0,29.0,26.9,25.7,17.0,1.6
2009-09,37.4,37.3,38.4,27.6,22.0,23.7,16.1,1.3
2009-08,34.2,35.6,36.8,26.4,21.9,23.7,16.2,1.6
2009-07,33.7,34.9,33.1,25.7,20.6,22.6,15.9,1.8
2009-06,35.2,34.4,38.3,26.7,20.8,21.7,16.5,2.2
2009-05,37.6,36.8,39.6,28.3,24.9,21.0,16.6,1.5
2009-04,38.3,37.8,39.8,28.9,26.0,20.2,17.0,1.6
2009-03,40.9,36.0,41.5,29.9,28.2,21.0,17.8,1.4
2009-02,38.5,35.5,33.9,27.9,24.8,20.0,16.4,1.1
2009-01,39.4,36.6,29.6,28.4,31.5,20.8,16.8,1.0
2008-12,37.3,34.5,30.4,27.1,31.0,20.0,15.9,1.3
2008-11,38.0,35.1,37.2,28.2,28.9,19.9,16.7,1.2
2008-10,37.2,36.0,38.6,28.2,29.3,18.6,16.3,1.2
2008-09,35.9,34.7,40.4,28.0,27.2,19.6,17.2,1.6
2008-08,31.0,32.4,38.2,25.9,25.1,20.5,17.2,0.8
2008-07,32.4,31.1,33.6,25.7,24.7,19.2,17.2,0.1
2008-06,37.0,31.5,41.2,29.2,27.3,20.4,20.1,0.9
2008-05,39.7,34.1,43.2,30.8,32.9,18.2,19.7,0.9
2008-04,39.3,33.8,42.8,30.8,32.3,17.9,20.1,2.2
2008-03,39.1,34.0,40.4,30.5,32.2,18.7,19.8,0.7
2008-02,37.9,33.2,34.2,29.3,28.3,18.8,19.5,0.7
2008-01,39.1,33.5,31.1,29.4,28.9,19.2,19.4,0.6
2007-12,36.6,31.7,32.8,27.7,27.6,18.1,17.6,0.5
