Date,1 edit,2-5 edits,6-50 edits,51-100 edits,101-500 edits,501-1000 edits,>1000 edits
2001-01,8.0,7.0,42.0,0.0,0.0,0.0,0.0
2001-02,5.0,8.0,86.0,160.0,0.0,0.0,0.0
2001-03,12.0,31.0,350.0,120.0,105.0,0.0,0.0
2001-04,5.0,48.0,166.0,88.0,0.0,0.0,0.0
2001-05,9.0,17.0,300.0,237.0,343.0,0.0,0.0
2001-06,14.0,19.0,367.0,116.0,0.0,0.0,0.0
2001-07,42.0,109.0,634.0,186.0,0.0,0.0,0.0
2001-08,34.0,103.0,763.0,368.0,600.0,0.0,0.0
2001-09,71.0,198.0,909.0,933.0,1317.0,0.0,0.0
2001-10,48.0,163.0,1224.0,1203.0,2988.0,510.0,0.0
2001-11,37.0,149.0,1449.0,1417.0,5977.0,1013.0,0.0
2001-12,58.0,169.0,1456.0,1850.0,7546.0,2848.0,0.0
2002-01,23.0,133.0,1445.0,1563.0,5487.0,566.0,0.0
2002-02,70.0,226.0,1765.0,1377.0,7996.0,3232.0,0.0
2002-03,45.0,168.0,1848.0,1432.0,9167.0,4441.0,0.0
2002-04,40.0,179.0,1767.0,1675.0,6815.0,2027.0,2475.0
2002-05,39.0,180.0,1396.0,1279.0,6359.0,597.0,2626.0
2002-06,56.0,221.0,1401.0,1726.0,9892.0,3545.0,4012.0
2002-07,61.0,232.0,1861.0,980.0,8778.0,8805.0,3298.0
2002-08,75.0,270.0,2795.0,1804.0,14125.0,9680.0,17223.0
2002-09,102.0,357.0,3144.0,2917.0,19707.0,8913.0,32936.0
2002-10,104.0,456.0,3540.0,1861.0,19924.0,14399.0,51606.0
2002-11,114.0,496.0,3176.0,2635.0,16898.0,11590.0,11804.0
2002-12,124.0,492.0,3897.0,4074.0,19495.0,11672.0,9696.0
2003-01,203.0,858.0,4890.0,5451.0,23417.0,13860.0,22001.0
2003-02,178.0,796.0,6643.0,5962.0,24042.0,18152.0,9569.0
2003-03,171.0,760.0,6503.0,4465.0,22095.0,18376.0,16739.0
2003-04,155.0,701.0,5425.0,5489.0,26222.0,15056.0,18310.0
2003-05,222.0,1056.0,7475.0,6326.0,30180.0,20914.0,26714.0
2003-06,295.0,1092.0,8762.0,6633.0,31290.0,24002.0,19610.0
2003-07,397.0,1555.0,10883.0,7443.0,34754.0,22346.0,21054.0
2003-08,436.0,1687.0,11213.0,9863.0,45140.0,26507.0,28587.0
2003-09,454.0,1831.0,10537.0,8645.0,48285.0,22766.0,17491.0
2003-10,500.0,2091.0,13335.0,8480.0,46523.0,21674.0,26063.0
2003-11,541.0,2142.0,14275.0,10953.0,52556.0,30091.0,55926.0
2003-12,509.0,2285.0,14938.0,14425.0,58301.0,39040.0,54073.0
2004-01,651.0,2821.0,18021.0,13496.0,63436.0,32026.0,51510.0
2004-02,888.0,3699.0,24598.0,17050.0,80053.0,50645.0,76966.0
