Month,World-Wide,Europe,Asia Pacific,North America,Latin America,Middle East - Africa,India,China
2012/01/01,482157000,184668000,108186000,99821000,47386000,42097000,17205000,8766000
2011/12/01,457063000,173496000,103851000,94413000,45235000,40068000,16425000,8803000
2011/11/01,474723000,178580000,105296000,94689000,56544000,39614000,16425000,7355000
2011/10/01,476627000,176918000,106128000,96252000,57210000,40119000,16019000,7386000
2011/09/01,454529000,166505000,102341000,93193000,56613000,35877000,16180000,5709000
2011/08/01,422779000,152109000,97661000,88277000,52983000,31749000,15944000,5163000
2011/07/01,393543000,146724000,90378000,83859000,42700000,29882000,14979000,4814000
2011/06/01,399362000,153883000,86539000,80753000,47203000,30985000,14163000,3960000
2011/05/01,411061000,161311000,84666000,82081000,49095000,33908000,13701000,3492000
2011/04/01,380716000,149211000,77891000,78234000,45108000,30272000,12801000,2866000
2011/03/01,400011000,156913000,80997000,81918000,47583000,32599000,13011000,2854000
2011/02/01,379415000,150775000,77468000,80038000,41411000,29722000,12960000,2664000
2011/01/01,413957000,168571000,85593000,88233000,39446000,32113000,15067000,3048000
2010/12/01,395472000,157837000,80958000,87087000,38738000,30852000,14004000,3372000
2010/11/01,410816000,165020000,82736000,85732000,46617000,30711000,13614000,3108000
2010/10/01,408350000,159384000,83406000,87359000,45152000,33049000,13674000,3156000
2010/09/01,398178000,155438000,83119000,85606000,45265000,28749000,13433000,3181000
2010/08/01,373392000,140560000,83015000,81295000,42303000,26220000,13187000,2829000
2010/07/01,360225000,138975000,80260000,79888000,38111000,22991000,12828000,2536000
2010/06/01,379112000,151013000,80269000,80393000,43826000,23611000,12373000,2613000
2010/05/01,388932000,150313000,80502000,85929000,45790000,26399000,11675000,2700000
2010/04/01,374846000,144087000,77535000,83792000,44286000,25146000,10923000,4081000
2010/03/01,370744000,140834000,77678000,83696000,43574000,24962000,10516000,3443000
2010/02/01,345218000,133807000,72378000,80940000,36414000,21680000,9865000,2935000
2010/01/01,364719000,136935000,89049000,82489000,32834000,23411000,10216000,3351000
2009/12/01,347020000,129763000,84201000,77607000,31391000,24058000,9696000,3657000
2009/11/01,345805000,129798000,82379000,75050000,36495000,22083000,9437000,3718000
2009/10/01,344563000,128647000,83671000,73452000,36440000,22353000,9287000,3702000
2009/09/01,325998000,123062000,77948000,71661000,35264000,18063000,8480000,2882000
2009/08/01,307641000,111190000,77365000,68084000,33186000,17816000,8398000,3547000
2009/07/01,295484000,108552000,74990000,66142000,29298000,16502000,7908000,3839000
2009/06/01,302940000,112270000,76239000,64678000,33263000,16489000,7522000,4566000
2009/05/01,317255000,118874000,75595000,69387000,33870000,19529000,7168000,2936000
2009/04/01,320043000,119578000,76024000,70908000,33400000,20133000,6807000,3115000
2009/03/01,327148000,126474000,78009000,66878000,34229000,21558000,7014000,2752000
2009/02/01,300751000,117828000,70862000,65855000,27440000,18765000,6587000,2002000
2009/01/01,289811000,112449000,71203000,67971000,22558000,15630000,6764000,1825000
2008/12/01,272998000,105318000,66026000,63782000,22769000,15103000,6421000,2286000
2008/11/01,280969000,106199000,68371000,65133000,27416000,13850000,6286000,2185000
2008/10/01,277208000,102955000,65703000,66785000,27974000,13790000,5799000,2037000
2008/09/01,272109000,98304000,68291000,64075000,28886000,12553000,6025000,2735000
2008/08/01,248539000,83931000,66895000,59494000,26847000,11371000,6217000,1382000
2008/07/01,244326000,86905000,65838000,57347000,23220000,11016000,5720000,232000
2008/06/01,251502000,89427000,65764000,58272000,26099000,11941000,5979000,958000
2008/05/01,263120000,95234000,63560000,63186000,27002000,14139000,5264000,994000
2008/04/01,261414000,93642000,63963000,63827000,26347000,13634000,5079000,2288000
2008/03/01,256061000,92283000,62380000,63518000,24542000,13337000,5200000,669000
2008/02/01,240754000,87975000,59948000,61218000,20286000,11327000,5065000,695000
2008/01/01,242554000,91036000,59964000,61664000,18341000,11549000,5138000,581000
2007/12/01,226119000,84703000,53895000,57630000,19063000,10828000,4758000,469000
