Date,0 namespace,1 namespace,2 namespace,3 namespace,4 namespace,5 namespace,other namespace
2001-01,49.0,0.0,6.0,0.0,0.0,0.0,0.0
2001-02,244.0,5.0,5.0,0.0,1.0,0.0,0.0
2001-03,543.0,32.0,24.0,0.0,7.0,1.0,0.0
2001-04,263.0,17.0,7.0,0.0,10.0,2.0,0.0
2001-05,859.0,23.0,6.0,0.0,7.0,0.0,0.0
2001-06,426.0,48.0,19.0,0.0,7.0,0.0,1.0
2001-07,771.0,105.0,49.0,0.0,21.0,2.0,1.0
2001-08,1437.0,325.0,54.0,3.0,26.0,0.0,1.0
2001-09,2843.0,407.0,59.0,4.0,65.0,8.0,2.0
2001-10,5026.0,532.0,238.0,26.0,163.0,75.0,9.0
2001-11,7826.0,1138.0,280.0,58.0,404.0,80.0,21.0
2001-12,10107.0,2320.0,476.0,104.0,445.0,66.0,10.0
2002-01,6659.0,1325.0,371.0,89.0,313.0,9.0,25.0
2002-02,11120.0,1127.0,654.0,205.0,597.0,111.0,29.0
2002-03,12610.0,1810.0,815.0,341.0,493.0,62.0,34.0
2002-04,10736.0,1436.0,468.0,331.0,868.0,270.0,20.0
2002-05,9825.0,865.0,339.0,143.0,421.0,56.0,29.0
2002-06,16551.0,1794.0,451.0,346.0,524.0,73.0,21.0
2002-07,18870.0,2195.0,572.0,562.0,520.0,187.0,33.0
2002-08,35623.0,4125.0,994.0,1078.0,1389.0,624.0,198.0
2002-09,54961.0,5178.0,1236.0,1452.0,2152.0,407.0,78.0
2002-10,77249.0,5923.0,1332.0,1568.0,2237.0,537.0,170.0
2002-11,35241.0,4022.0,1382.0,1615.0,1649.0,377.0,164.0
2002-12,36746.0,5409.0,1665.0,1643.0,1391.0,323.0,127.0
2003-01,52506.0,7489.0,1846.0,2438.0,2028.0,742.0,120.0
2003-02,48410.0,6086.0,1959.0,2951.0,2150.0,622.0,197.0
2003-03,52181.0,5791.0,1736.0,2608.0,2407.0,854.0,265.0
2003-04,53459.0,6349.0,1497.0,2922.0,2824.0,687.0,203.0
2003-05,69886.0,7264.0,2412.0,4263.0,3987.0,702.0,169.0
2003-06,67163.0,6617.0,2610.0,4912.0,4476.0,1274.0,140.0
2003-07,70669.0,8670.0,3159.0,5018.0,4887.0,1281.0,272.0
2003-08,90611.0,9397.0,3399.0,6083.0,6930.0,1442.0,224.0
2003-09,82331.0,7911.0,2775.0,4511.0,6876.0,1042.0,274.0
2003-10,87660.0,8506.0,2945.0,4943.0,8136.0,1158.0,223.0
2003-11,124270.0,11019.0,4799.0,6658.0,10960.0,1260.0,270.0
2003-12,137330.0,12111.0,5229.0,7365.0,12055.0,1277.0,548.0
2004-01,133392.0,12257.0,5521.0,7424.0,13010.0,2132.0,384.0
2004-02,180344.0,18635.0,7369.0,10435.0,21520.0,4294.0,1550.0
