Month,Total,Projected,Target,(Actual==Total?)
2009/02/01,86075,,,
2009/03/01,90821,,,
2009/04/01,86401,,,
2009/05/01,89124,,,
2009/06/01,87784,,,
2009/07/01,87160,,,
2009/08/01,87121,,,
2009/09/01,84270,,,
2009/10/01,86333,,,
2009/11/01,85911,,,
2009/12/01,84077,,,
2010/01/01,90283,,,
2010/02/01,85092,,,
2010/03/01,89458,,,
2010/04/01,86040,,,
2010/05/01,87954,,,
2010/06/01,82529,,,
2010/07/01,80662,,,
2010/08/01,82102,,,
2010/09/01,78819,,,
2010/10/01,80398,,,
2010/11/01,79381,,,
2010/12/01,78856,,,
2011/01/01,88233,88459,,88255
2011/02/01,83462,83788,,83522
2011/03/01,86009,86439,75755,86054
2011/04/01,81869,84691,79509,81914
2011/05/01,82985,84864,80853,83039
2011/06/01,81416,82350,79620,81481
2011/07/01,81558,81302,79773,81612
2011/08/01,82313,80482,80139,82393
2011/09/01,79682,79338,80171,79781
2011/10/01,80273,80317,82364,80388
2011/11/01,79607,79145,82365,79812
2011/12/01,79663,77795,82161,
2012/01/01,85054,81829,90352,
2012/02/01,81792,81227,91016,
2012/03/01,,83135,94536,
2012/04/01,,82208,94867,
2012/05/01,,82376,96471,
2012/06/01,,79935,95000,
