Date, Total,English,German,French,Russian
2009/03/01,11346640,4387737,809850,631565,463855
2009/04/01,10791156,4028059,661626,618969,449394
2009/05/01,11753713,4283648,691701,768671,470762
2009/06/01,10890940,3932692,707659,674433,475722
2009/07/01,11224690,3802754,695293,619384,469314
2009/08/01,11186615,3889657,735917,678988,477494
2009/09/01,10893785,3978164,688374,630984,468314
2009/10/01,11049608,3970078,720891,668696,520510
2009/11/01,10644880,3904960,723712,657332,524232
2009/12/01,11135042,4378459,722236,658667,504660
2010/01/01,11739274,3943409,851348,725792,571722
2010/02/01,11311796,3875244,754544,681485,552290
2010/03/01,12055068,4115968,831890,698710,603415
2010/04/01,12033243,4025586,750073,690834,571215
2010/05/01,12190072,4071077,773844,701324,578917
2010/06/01,11814835,3939377,722589,658218,572072
2010/07/01,10636565,3642733,706400,622821,544070
2010/08/01,12256506,3855654,781297,654564,569134
2010/09/01,11825577,3948544,743092,669185,544744
2010/10/01,11484760,4120824,742993,664845,569307
2010/11/01,11104381,3895643,738730,719991,557107
2010/12/01,11513389,3679867,738568,751015,599343
2011/01/01,12733572,4060186,880029,755463,657788
2011/02/01,10981900,3511067,758084,666716,615053
2011/03/01,11774228,3574743,791942,712418,642793
2011/04/01,11561533,3560724,722311,689485,564891
2011/05/01,11464988,3502455,722414,754165,621059
2011/06/01,11642001,3555526,730736,739819,576020
2011/07/01,11843973,3609893,737021,720158,600521
2011/08/01,11240361,3462193,711962,731113,587712
2011/09/01,10906576,3453986,702589,772605,548344
2011/10/01,11345533,3396292,735251,744119,557299
2011/11/01,11130297,3330432,723179,738103,548486
2011/12/01,11664264,3344986,738674,788880,556446
2012/01/01,12403993,3664284,801637,935354,663860
2012/02/01,11483272,3426900,736299,879563,641839
2012/03/01,12059050,3526607,744883,733573,659266
