Date, Total,jpg,png,svg,ogg,gif,tif,pdf,djvu,ogv,mid
2009/03/01,4079322,3217200,430552,240838,96441,83499,121,5908,3207,265,1095
2009/04/01,4260245,3381139,438056,246357,98104,85045,231,6151,3557,285,1104
2009/05/01,4399334,3502864,446697,251825,99491,86394,317,6255,3805,343,1111
2009/06/01,4553128,3617315,477825,256964,100614,87506,372,6403,4307,431,1132
2009/07/01,4712975,3748579,496780,263650,101735,88797,470,6518,4545,490,1136
2009/08/01,4875656,3883340,511769,271013,104759,90285,608,7137,4779,535,1141
2009/09/01,5004225,3995616,519178,277279,105343,91635,709,7395,5011,593,1146
2009/10/01,5271793,4245551,528706,282434,106127,92930,833,7746,5262,692,1176
2009/11/01,5444562,4399948,537724,289112,106768,94141,918,8033,5497,878,1189
2009/12/01,5583853,4516787,549766,295107,107878,95427,1028,8404,6884,998,1195
2010/01/01,5937912,4846065,562093,302400,110332,97154,1159,8644,7258,1110,1214
2010/02/01,6088455,4970913,578742,308084,111224,98548,1477,8945,7610,1179,1229
2010/03/01,6257374,5097203,610395,315458,112481,99828,1745,9170,8017,1311,1232
2010/04/01,6457940,5268227,630429,322210,113215,100746,1848,9590,8355,1523,1238
2010/05/01,6651790,5435972,645233,329713,114225,101717,1933,9766,9654,1747,1249
2010/06/01,6813515,5574446,657358,337475,115667,102754,2065,9937,10042,1915,1254
2010/07/01,7005858,5734090,667714,344109,117238,103790,12714,10191,11807,2327,1261
2010/08/01,7200237,5899726,678972,353963,121096,104913,14184,10344,12609,2510,1276
2010/09/01,7396077,6070157,691598,362178,123025,106423,14452,10489,13019,2746,1306
2010/10/01,7585021,6231857,702979,373380,125115,107845,14575,10804,13495,2920,1324
2010/11/01,7742203,6359649,721319,380448,126005,109120,14793,11109,13877,3753,1341
2010/12/01,7968380,6564005,732701,387594,127089,110090,14943,11467,14383,3924,1363
2011/01/01,8193691,6765059,745338,395792,127920,111363,15116,11738,14891,4228,1375
2011/02/01,9355142,7876132,756389,431378,129066,112674,15340,12164,15278,4390,1425
2011/03/01,9871971,8364303,765685,446952,130046,113815,15557,12610,15986,4597,1454
2011/04/01,10062691,8530787,778425,454137,131347,115056,15726,13083,16561,5049,1507
2011/05/01,10242907,8688654,787935,463117,132265,115973,15935,13837,17210,5383,1529
2011/06/01,10439296,8862639,800255,469149,133004,116899,16338,14864,17840,5652,1547
2011/07/01,10633986,9031551,812692,475618,134793,118092,18929,15480,18261,5866,1560
2011/08/01,10855152,9211234,826504,483420,136303,119311,34528,16170,18723,6205,1578
2011/09/01,11261406,9553653,837859,491460,137826,120419,74336,17355,19077,6559,1608
2011/10/01,11521285,9778142,852144,502296,138983,121581,80642,18210,19568,6786,1620
2011/11/01,11742816,9970560,862259,510696,145131,122811,81725,19348,19945,7157,1793
2011/12/01,11949767,10153280,875693,517253,146344,124152,82012,19961,20293,7507,1835
2012/01/01,12177495,10348314,891499,525452,150252,126496,82534,20628,20831,7884,2108
2012/02/01,12358413,10503655,903404,531170,153769,127701,82758,21564,21529,8454,2157
2012/03/01,12600668,10713447,917287,541772,158090,128955,83007,22353,21988,9009,2284
