Date, All projects,English,Spanish,Japanese,German,Russian,French
2008/07/01,9548996328,5135131814,445589582,973755192,755196668,113662290,311381016
2008/08/01,9501001543,4974344046,529752195,969975425,778407514,121195082,312562951
2008/09/01,10631664080,5479533823,640332042,998032211,817672904,157256924,407994179
2008/10/01,10745804182,5509405206,659209518,974745059,829895189,173119199,426838989
2008/11/01,10845469196,5415832055,618951709,925842966,1007854264,193302177,456433510
2008/12/01,10471563564,5043588824,429593165,867622536,1434267602,225726994,398506291
2009/01/01,11496646419,5615498275,525897906,1020040333,1270923077,244179932,489329700
2009/02/01,11679535567,5943558064,664767977,1015724496,981701403,261464142,489587152
2009/03/01,12024862000,6092089410,708812666,965824332,978324435,284750415,510839619
2009/04/01,11352618456,5988817321,622529405,935725490,816911070,275645537,513244212
2009/05/01,11825871871,6066080834,712546000,1054087578,875354334,285393526,517848086
2009/06/01,11511697836,5818924182,689177935,1076231552,908943732,287430317,478907393
2009/07/01,10765973183,5614497075,568949734,1071919060,818710227,249613491,402046348
2009/08/01,10938212049,5604048759,670114201,1056863842,812759742,263291318,405401461
2009/09/01,11878057812,5937922018,805384131,1036022366,888953956,305019697,468445343
2009/10/01,12257819634,6041279704,793041104,1042122587,884514330,336490934,517691251
2009/11/01,12008718875,5841504417,750257494,1018879252,903770333,350558815,517541264
2009/12/01,10626616804,5258610830,500123563,947765303,759783399,342298682,456708198
2010/01/01,11987314019,5883232992,608651538,1083201946,916028392,377526978,532464602
2010/02/01,12516731479,6227014896,776934909,1060245098,890617318,414429038,527713863
2010/03/01,12202523180,6446465754,740804448,979748084,809344045,358678986,493544465
2010/04/01,15032439023,8213623221,953794373,1152028494,957331874,438267171,550218307
2010/05/01,15224406861,8126959544,999782289,1276258833,986952926,467543830,573315069
2010/06/01,14593247972,7841269693,939990212,1260772500,955135652,456898699,536451155
2010/07/01,13895953915,7728611935,762596690,1275749319,901839447,386032551,482220859
2010/08/01,13761406064,7435888138,872071201,1222127187,936931491,408043313,510089112
2010/09/01,14528728262,7572220871,1018472015,1200138702,989808185,494069475,586890265
2010/10/01,14532380230,7526863400,1020227911,1185314758,973748712,525512847,598622500
2010/11/01,14938670017,7552720233,1029077915,1192956965,1062730731,569946243,657362614
2010/12/01,13948551131,7197323670,748120629,1104993076,965473265,587252199,619085980
2011/01/01,15494531200,7886321417,870565050,1230270379,1155753949,643666675,697123896
2011/02/01,15602268966,7905363844,1017498578,1235772520,1010369643,663129902,657610990
2011/03/01,15206260328,7532208472,1071499890,1195941376,1000548752,649943184,656422906
2011/04/01,14675654011,7345492982,961460241,1185126548,902105087,646546023,624116684
2011/05/01,15136658234,7313738255,1074132146,1255860535,1035675916,647533682,653114631
2011/06/01,14722782747,7129490662,979439804,1227660371,1009279530,626252967,626267778
2011/07/01,14140710162,6968286733,858854640,1247518154,959536382,568028951,593023383
2011/08/01,15061062187,7263497053,1054094317,1321459774,966935930,586031773,654016689
2011/09/01,15837395045,7483008091,1195023458,1314236262,988041057,667136987,682681634
2011/10/01,17102055307,7881085908,1234884164,1322496602,1028580510,740428763,745267659
2011/11/01,17422228297,8314617939,1214871541,1321316510,1079434677,789448080,760596481
2011/12/01,16365307778,7950128284,899244274,1253215909,1038191276,810251079,723308805
2012/01/01,18054256464,8576588259,1035012747,1438625504,1192489116,872056989,790998265
2012/02/01,18127912871,8782733975,1211719057,1431170650,1144831051,903756130,780606431
2012/03/01,17273498605,8168174170,1187560765,1333339996,1067371844,858648904,769176782
