Date,Total,Non-autoconfirmed,Autoconfirmed,Autopatrolled
2001/01/01,39,3,36,0
2001/02/01,95,2,93,0
2001/03/01,134,4,130,0
2001/04/01,51,0,51,0
2001/05/01,155,0,155,0
2001/06/01,78,0,78,2
2001/07/01,143,3,140,0
2001/08/01,236,3,233,2
2001/09/01,384,4,380,1
2001/10/01,532,5,527,11
2001/11/01,406,5,401,10
2001/12/01,347,0,347,10
2002/01/01,384,3,381,9
2002/02/01,2154,17,2137,133
2002/03/01,2322,20,2302,172
2002/04/01,1866,17,1849,110
2002/05/01,1843,25,1818,43
2002/06/01,3381,11,3370,49
2002/07/01,3286,10,3276,87
2002/08/01,5638,9,5629,245
2002/09/01,11518,34,11484,219
2002/10/01,37921,42,37879,392
2002/11/01,5176,27,5149,579
2002/12/01,4434,35,4399,290
2003/01/01,6613,63,6550,500
2003/02/01,5891,68,5823,176
2003/03/01,6794,55,6739,352
2003/04/01,7012,31,6981,199
2003/05/01,9044,82,8962,425
2003/06/01,7926,59,7867,278
2003/07/01,11764,112,11652,602
2003/08/01,10055,109,9946,683
2003/09/01,10685,81,10604,1412
2003/10/01,9616,90,9526,768
2003/11/01,14741,141,14600,873
2003/12/01,16394,107,16287,691
2004/01/01,16223,158,16065,643
2004/02/01,21670,188,21482,1642
2004/03/01,34464,285,34179,1835
2004/04/01,27677,268,27409,2688
2004/05/01,27707,245,27462,1723
2004/06/01,29794,222,29572,3044
2004/07/01,60035,282,59753,3441
2004/08/01,31117,426,30691,3447
2004/09/01,32199,380,31819,3138
2004/10/01,34280,485,33795,3062
2004/11/01,38138,491,37647,2648
2004/12/01,49587,453,49134,3128
2005/01/01,33891,472,33419,3135
2005/02/01,30340,510,29830,2891
2005/03/01,41002,584,40418,3538
2005/04/01,52237,642,51595,4949
2005/05/01,48748,735,48013,5066
2005/06/01,65460,753,64707,6523
2005/07/01,67377,1026,66351,7324
2005/08/01,73681,1138,72543,7774
2005/09/01,59503,967,58536,7423
2005/10/01,64291,1193,63098,8674
2005/11/01,66117,1721,64396,8417
2005/12/01,93316,4356,88960,11884
2006/01/01,110332,4956,105376,14323
2006/02/01,97469,4963,92506,10939
2006/03/01,111015,5768,105247,12680
2006/04/01,110072,5577,104495,14623
2006/05/01,120814,5888,114926,16114
2006/06/01,124800,5285,119515,17288
2006/07/01,132696,5528,127168,23518
2006/08/01,139070,6435,132635,26080
2006/09/01,118490,5401,113089,23164
2006/10/01,122242,5328,116914,23957
2006/11/01,121104,5778,115326,23656
2006/12/01,123069,6019,117050,20118
2007/01/01,122205,6654,115551,22694
2007/02/01,118578,6667,111911,22882
2007/03/01,120332,7027,113305,26601
2007/04/01,117443,6383,111060,25386
2007/05/01,120541,6587,113954,26670
2007/06/01,130750,6004,124746,26807
2007/07/01,156211,6286,149925,30603
2007/08/01,142107,11239,130868,30451
2007/09/01,152756,31706,121050,34600
2007/10/01,158960,36046,122914,31940
2007/11/01,172535,33815,138720,32113
2007/12/01,159993,25629,134364,30945
2008/01/01,167810,25341,142469,37334
2008/02/01,151565,26756,124809,49022
2008/03/01,279347,29479,249868,37243
2008/04/01,143408,32605,110803,34635
2008/05/01,141629,31307,110322,35957
2008/06/01,139314,24736,114578,35290
2008/07/01,143728,24422,119306,36636
2008/08/01,155515,23950,131565,38229
2008/09/01,125228,25550,99678,31228
2008/10/01,171608,28883,142725,34722
2008/11/01,122365,29032,93333,34531
2008/12/01,123889,27015,96874,36060
2009/01/01,133976,27511,106465,35751
2009/02/01,133906,27365,106541,31750
2009/03/01,151660,28447,123213,42852
2009/04/01,136199,23521,112678,42449
2009/05/01,122532,22954,99578,37447
2009/06/01,156535,20431,136104,42252
2009/07/01,137150,22308,114842,55432
2009/08/01,128736,21353,107383,47358
2009/09/01,107433,21475,85958,36454
2009/10/01,111079,23893,87186,35913
2009/11/01,107629,24634,82995,33073
2009/12/01,116760,22064,94696,35560
2010/01/01,117705,23434,94271,42904
2010/02/01,104173,23600,80573,33006
2010/03/01,111183,25250,85933,32774
2010/04/01,119431,19858,99573,32907
2010/05/01,117727,17467,100260,30518
2010/06/01,114150,15086,99064,30150
2010/07/01,93221,14612,78609,31775
2010/08/01,175430,14846,160584,34068
2010/09/01,95552,15058,80494,36527
2010/10/01,94129,16262,77867,34953
2010/11/01,129658,15846,113812,71976
2010/12/01,148564,15078,133486,92429
2011/01/01,100313,16291,84022,37855
2011/02/01,87747,15580,72167,31141
2011/03/01,91564,16603,74961,33479
2011/04/01,96825,15288,81537,31359
2011/05/01,88465,14902,73563,33002
2011/06/01,92399,13816,78583,36019
2011/07/01,90952,12975,77977,33908
2011/08/01,93167,12789,80378,36332
2011/09/01,89525,12635,76890,33562
2011/10/01,91345,11928,79417,33014
2011/11/01,84933,11750,73183,30106
2011/12/01,79058,10795,68263,29060
2012/01/01,82547,10736,71811,28531
