Date,All editors,Active editors (5>edits),Very editors (100>edits),New editors (<6 month old)
2001/01/01,13.0,4.0,0.0,13.0
2001/02/01,17.0,8.0,0.0,17.0
2001/03/01,42.0,23.0,1.0,42.0
2001/04/01,32.0,17.0,0.0,32.0
2001/05/01,35.0,19.0,1.0,35.0
2001/06/01,40.0,19.0,0.0,40.0
2001/07/01,115.0,42.0,0.0,112.0
2001/08/01,115.0,50.0,3.0,109.0
2001/09/01,205.0,74.0,7.0,189.0
2001/10/01,199.0,105.0,15.0,185.0
2001/11/01,213.0,135.0,30.0,191.0
2001/12/01,247.0,137.0,38.0,226.0
2002/01/01,187.0,133.0,28.0,146.0
2002/02/01,292.0,166.0,41.0,243.0
2002/03/01,273.0,177.0,50.0,209.0
2002/04/01,238.0,152.0,36.0,174.0
2002/05/01,228.0,142.0,33.0,154.0
2002/06/01,278.0,159.0,48.0,186.0
2002/07/01,307.0,187.0,56.0,211.0
2002/08/01,416.0,267.0,85.0,273.0
2002/09/01,528.0,330.0,109.0,374.0
2002/10/01,596.0,363.0,121.0,437.0
2002/11/01,586.0,352.0,97.0,426.0
2002/12/01,657.0,393.0,109.0,468.0
2003/01/01,985.0,552.0,143.0,764.0
2003/02/01,982.0,601.0,129.0,741.0
2003/03/01,923.0,542.0,128.0,668.0
2003/04/01,906.0,562.0,145.0,613.0
2003/05/01,1236.0,712.0,171.0,903.0
2003/06/01,1420.0,831.0,188.0,1027.0
2003/07/01,1800.0,969.0,202.0,1316.0
2003/08/01,2011.0,1108.0,261.0,1503.0
2003/09/01,2000.0,1053.0,248.0,1427.0
2003/10/01,2339.0,1246.0,257.0,1737.0
2003/11/01,2488.0,1348.0,317.0,1801.0
2003/12/01,2627.0,1491.0,338.0,1855.0
2004/01/01,3129.0,1682.0,368.0,2243.0
2004/02/01,4170.0,2280.0,472.0,3085.0
2004/03/01,5487.0,3027.0,634.0,4206.0
2004/04/01,5767.0,3064.0,634.0,4375.0
2004/05/01,6283.0,3305.0,654.0,4692.0
2004/06/01,7381.0,3478.0,708.0,5629.0
2004/07/01,7796.0,4138.0,791.0,5757.0
2004/08/01,8598.0,4373.0,888.0,6301.0
2004/09/01,9934.0,4945.0,973.0,7147.0
2004/10/01,11365.0,5597.0,1022.0,8199.0
2004/11/01,13249.0,6449.0,1209.0,9574.0
2004/12/01,14288.0,6999.0,1234.0,10139.0
2005/01/01,14752.0,6917.0,1171.0,10162.0
2005/02/01,15136.0,6919.0,1155.0,10312.0
2005/03/01,18316.0,8605.0,1404.0,12552.0
2005/04/01,21459.0,10109.0,1721.0,14756.0
2005/05/01,23284.0,11002.0,1817.0,15855.0
2005/06/01,25048.0,11914.0,2018.0,16966.0
2005/07/01,31206.0,14637.0,2411.0,21656.0
2005/08/01,35189.0,16258.0,2594.0,24557.0
2005/09/01,34466.0,15310.0,2324.0,23396.0
2005/10/01,40536.0,17679.0,2669.0,27958.0
2005/11/01,43010.0,18065.0,2717.0,29848.0
2005/12/01,61454.0,26664.0,3880.0,45115.0
2006/01/01,69987.0,30193.0,4533.0,50803.0
2006/02/01,78023.0,31869.0,4432.0,57530.0
2006/03/01,93612.0,36791.0,4894.0,70221.0
2006/04/01,96825.0,37924.0,4899.0,71960.0
2006/05/01,108129.0,42188.0,5400.0,80424.0
2006/06/01,110081.0,43663.0,5695.0,79372.0
2006/07/01,117826.0,46146.0,6041.0,83608.0
2006/08/01,133678.0,51212.0,6331.0,94896.0
2006/09/01,134862.0,49704.0,5856.0,92626.0
2006/10/01,145085.0,52186.0,6064.0,99193.0
2006/11/01,157817.0,55557.0,6208.0,107743.0
2006/12/01,159127.0,56240.0,6480.0,105717.0
2007/01/01,174758.0,61107.0,6918.0,115674.0
2007/02/01,179145.0,60941.0,6694.0,118400.0
2007/03/01,191822.0,64927.0,7078.0,125567.0
2007/04/01,187285.0,63618.0,6974.0,119409.0
2007/05/01,181596.0,62238.0,6885.0,112380.0
2007/06/01,158579.0,55534.0,6532.0,92610.0
2007/07/01,160780.0,56612.0,6550.0,92994.0
2007/08/01,160541.0,54646.0,6320.0,91888.0
2007/09/01,164120.0,53567.0,6105.0,93438.0
2007/10/01,172694.0,55599.0,6099.0,99197.0
2007/11/01,162622.0,52601.0,5887.0,90613.0
2007/12/01,149104.0,49477.0,5757.0,79356.0
2008/01/01,165875.0,53958.0,6122.0,92097.0
2008/02/01,166735.0,53754.0,5962.0,93880.0
