Date,Total,jpg,png,svg,pdf,ogg,gif,tif,djvu,ogv,mid
2010/04/01,6422987,5239407,627227,321322,112989,99623,1772,9039,8342,1462,1218
2010/05/01,6615322,5405831,641948,328774,113998,100565,1854,9195,9641,1680,1229
2010/06/01,6775545,5543040,653979,336452,115431,101581,1982,9347,10029,1847,1234
2010/07/01,6966759,5701767,664223,343046,116991,102607,12631,9584,11786,2246,1241
2010/08/01,7159732,5866181,675382,352856,120846,103716,14095,9721,12588,2426,1256
2010/09/01,7354028,6035279,687915,361022,122767,105197,14361,9848,12998,2659,1286
2010/10/01,7541499,6195778,699138,372202,124855,106579,14480,10120,13473,2832,1304
2010/11/01,7696865,6322031,717332,379233,125742,107813,14694,10382,13854,3665,1320
2010/12/01,7920790,6524410,728570,386329,126818,108756,14868,10673,14359,3836,1341
2011/01/01,8143940,6723758,740940,394501,127647,109991,15038,10913,14782,4139,1353
2011/02/01,9302507,7832429,751786,430043,128789,111261,15246,11291,15051,4297,1402
2011/03/01,9816791,8318499,760889,445581,129663,112357,15450,11690,15758,4503,1431
2011/04/01,10005155,8483041,773373,452725,130957,113564,15613,12101,16330,4951,1483
2011/05/01,10182832,8638814,782623,461655,131853,114432,15819,12797,16979,5282,1505
2011/06/01,10375959,8810009,794678,467626,132588,115314,16196,13761,17606,5547,1523
2011/07/01,10566343,8975440,806676,474036,134365,116440,18768,14156,18026,5759,1535
2011/08/01,10783323,9151589,820072,481794,135867,117593,34345,14759,18484,6088,1551
2011/09/01,11184275,9489603,830917,489804,137384,118596,74049,15756,18834,6441,1581
2011/10/01,11437995,9708954,844539,500564,138527,119662,80337,16460,19326,6666,1593
2011/11/01,11651152,9894139,853955,508890,144665,120752,81411,17432,19702,7034,1763
2011/12/01,11851611,10071480,866708,515238,145883,122005,81685,17954,20048,7366,1805
2012/01/01,12072428,10260606,881815,523398,149806,124226,82199,18526,20583,7709,2074
2012/02/01,12245089,10409250,892813,528927,153260,125296,82408,19231,21281,8276,2120
2012/03/01,12477485,10610661,905745,539424,157564,126425,82597,19850,21737,8787,2244
2012/04/01,12683575,10795884,915954,545399,159018,127485,82732,20937,22018,9326,2327
2012/05/01,12930403,10981857,953739,562214,162751,128294,82925,21546,22235,9860,2400
2012/06/01,13169041,11165262,974115,593548,163727,129156,83120,22318,22471,10275,2420
2012/07/01,13412650,11383611,986426,602784,164671,130169,83480,22944,22813,10639,2430
2012/08/01,13657048,11598436,999965,614064,165853,131168,83863,23836,23221,11300,2468
2012/09/01,14300185,12209914,1015331,625942,166971,132190,84442,24561,23446,11934,2487
2012/10/01,14776487,12517715,1026715,638590,168325,133165,86252,162147,23663,14249,2499
2012/11/01,15053452,12753548,1041911,651818,169593,134257,86687,164358,24032,21244,2528
2012/12/01,15435631,13109211,1057009,657887,170130,135436,87062,165159,24326,22929,2571
2013/01/01,16126248,13770047,1072469,665094,172542,136746,87333,166117,24834,23716,2643
2013/02/01,16475891,14050116,1084021,671804,174354,137597,92207,207395,25419,24323,2661
2013/03/01,16762731,14297462,1102990,679339,175108,140568,92964,214381,25868,24944,2694
2013/04/01,17046793,14553353,1115916,685238,178973,141976,94090,215724,26308,25610,2701
