Month,Active Editors (Actual),Projected,Target (Annual Plan)
2012/06/01,78066,,81820
2012/07/01,79987,,87555
2012/08/01,78957,,88584
2012/09/01,81835,,85865
2012/10/01,79084,,86897
2012/11/01,78678,,86164
2012/12/01,77595,,86041
2013/01/01,84161,86934,91772
2013/02/01,77464,83605,88258
2013/03/01,81613,83713,88371
2013/04/01,82024,82085,86653
2013/05/01,82661,84433,89131
2013/06/01,77250,81467,86000
2013/07/01,77057,,
