Date,Total,Target,Projected
2009/03/01,,,
2009/04/01,,,
2009/05/01,,,
2009/06/01,89077;89077;89077,,
2009/07/01,88481;88481;88481,,
2009/08/01,88675;88675;88675,,
2009/09/01,85715;85715;85715,,
2009/10/01,87919;87919;87919,,
2009/11/01,87554;87554;87554,,
2009/12/01,85752;85752;85752,,
2010/01/01,91891;91891;91891,,
2010/02/01,86887;86887;86887,,
2010/03/01,91149;91149;91149,,
2010/04/01,87749;87749;87749,,
2010/05/01,89733;89733;89733,,
2010/06/01,84270;84270;84270,,
2010/07/01,82372;82372;82372,,
2010/08/01,83870;83870;83870,,
2010/09/01,80675;80675;80675,,
2010/10/01,82362;82362;82362,,
2010/11/01,81693;81693;81693,,
2010/12/01,80812;80812;80812,,
2011/01/01,90190;90190;90190,,88459;88459;88459
2011/02/01,85494;85494;85494,,83788;83788;83788
2011/03/01,88034;88034;88034,73825.58;75755;77684.42,86439;86439;86439
2011/04/01,83717;83717;83717,77579.58;79509;81438.42,84691;84691;84691
2011/05/01,84850;84850;84850,78923.58;80853;82782.42,84864;84864;84864
2011/06/01,83305;83305;83305,77690.58;79620;81549.42,82350;82350;82350
2011/07/01,83221;83221;83221,77843.58;79773;81702.42,81302;81302;81302
2011/08/01,84214;84214;84214,78209.58;80139;82068.42,80482;80482;80482
2011/09/01,81627;81627;81627,78241.58;80171;82100.42,79338;79338;79338
2011/10/01,82555;82555;82555,80434.58;82364;84293.42,80317;80317;80317
2011/11/01,81926;81926;81926,80435.58;82365;84294.42,79145;79145;79145
2011/12/01,81876;81876;81876,80231.58;82161;84090.42,77795;77795;77795
2012/01/01,87203;87203;87203,88422.58;90352;92281.42,81829;81829;81829
2012/02/01,83990;83990;83990,89086.58;91016;92945.42,81227;81227;81227
2012/03/01,84110;84110;84110,92606.58;94536;96465.42,83135;83135;83135
2012/04/01,82481;82481;82481,92937.58;94867;96796.42,82208;82208;82208
2012/05/01,84940;84940;84940,94541.58;96471;98400.42,82376;82376;82376
2012/06/01,82220;82220;82220,93070.58;95000;96929.42,79935;79935;79935
