Month,Total,English,French,German,Russian
2013/01/01,13687324,3575893,788715,805197,660118
2013/02/01,14176137,3890891,772007,755450,558628
2013/03/01,25562981,4747081,1721747,1157129,1158954
2013/04/01,12582372,3304550,735523,1186691,526730
2013/05/01,9424736,3209579,696129,624228,574209
2013/06/01,10437954,3033672,645407,616309,570078
2013/07/01,10373586,2855231,600865,609407,499260
2013/08/01,10660900,2896445,594482,589449,478693
2013/09/01,9828515,2798221,591036,547808,412451
2013/10/01,9197662,3006353,544164,597576,427124
2013/11/01,8340830,2910908,632811,609350,409101
2013/12/01,9282878,3040485,621480,583197,431489
2014/01/01,10382650,3230519,651508,666482,502034
2014/02/01,8650506,2848247,616828,594306,385610
2014/03/01,10576304,3060207,581136,625966,415416
2014/04/01,9130803,2957258,630850,551481,388202
2014/05/01,9206415,2971223,597344,582484,386445
2014/06/01,11067939,2748331,570398,528062,382884
2014/07/01,10958632,2843597,521248,559226,427884
2014/08/01,10344511,2898915,868274,544420,500787
2014/09/01,9343035,2764020,536022,564928,535451
2014/10/01,9939940,2771633,577479,557830,496157
2014/11/01,9598647,2799687,576171,549004,413629
2014/12/01,9387440,2848314,569357,570591,394672
2015/01/01,9407210,3085062,625950,677530,473950
2015/02/01,8579910,2829266,581501,594656,477807
2015/03/01,10425313,3105943,701585,634288,475009
2015/04/01,12459286,3160843,623098,557030,449000
2015/05/01,11754313,3304349,639111,677054,450760
2015/06/01,10387362,3134320,613492,573056,527161
2015/07/01,12584658,3149948,660691,616581,479633
2015/08/01,9931447,3337143,596892,645396,435739
2015/09/01,10446913,3160382,591524,598223,435999
2015/10/01,9797690,3216011,620908,626878,432728
2015/11/01,10877229,3098244,624134,615686,440177
2015/12/01,10879371,3066792,567787,582282,438249
2016/01/01,12685795,3436594,761503,725951,508417
