Month,Commons,Commons Target (Annual Plan)
2012/06/01,16880,16880
2012/07/01,17357,17442
2012/08/01,16946,18022
2012/09/01,33678,
2012/10/01,19350,19241
2012/11/01,18021,19881
2012/12/01,18546,20543
2013/01/01,,21226
2013/02/01,,21932
2013/03/01,,22662
2013/04/01,,23416
2013/05/01,,24195
2013/06/01,,25000
