date,Google,Total Internet,Wikimedia
2008-01,597234000,824435000,242554000
2008-02,605576000,822990000,240754000
2008-03,626118000,840590000,256061000
2008-04,631148000,849580000,261414000
2008-05,643809000,853119000,263120000
2008-06,649096000,860514000,251502000
2008-07,722454000,949583000,244326000
2008-08,742390000,960198000,248539000
2008-09,748539000,971945000,272109000
2008-10,753081000,984396000,277208000
2008-11,758588000,996304000,280969000
2008-12,775980000,1007730000,272998000
2009-01,771553000,1020582000,289811000
2009-02,816983240,1078911086,300751440
2009-03,830662907,1092598409,327147671
2009-04,845622755,1108030946,320042850
2009-05,840410223,1122330925,317254958
2009-06,844245495,1135655524,302939583
2009-07,853819724,1151380737,295484362
2009-08,867617643,1165193688,307641428
2009-09,879175953,1179318237,325998220
2009-10,891948998,1190150960,344563338
2009-11,889522000,1206051000,345805000
2009-12,899426000,1222237000,347020000
2010-01,919720000,1237448000,364719000
2010-02,883498000,1203547000,345218000
2010-03,907371000,1219389000,370744000
2010-04,921153000,1231777000,374846000
2010-05,931583000,1244104000,388932000
2010-06,942199000,1253406000,379112000
2010-07,952484000,1261762000,360225000
2010-08,971045000,1285378000,373392000
2010-09,976431000,1294784000,398178000
2010-10,976693000,1304632000,408350000
2010-11,970109000,1313926000,410816000
2010-12,972486000,1323535000,395472000
2011-01,985289000,1333403000,413957000
2011-02,976374000,1339496000,379415000
2011-03,996706000,1350539000,400011000
2011-04,990970000,1362369000,380716000
2011-05,1009699000,1373976000,411061000
2011-06,1023643000,1383098000,399362000
2011-07,1031584000,1394031000,393543000
2011-08,1048918000,1411178000,422779000
2011-09,1066695000,1420316000,454529000
2011-10,1083316000,1431939000,476627000
2011-11,1081821000,1438877000,474723000
2011-12,1092912000,1444092000,457063000
2012-01,1107467000,1450588000,482157000
2012-02,1107171000,1448160000,475699000
2012-03,1139459000,1471414000,489402000
2012-04,1142257000,1477810000,473380000
2012-05,1150223000,1484382000,492393000
2012-06,1157992000,1491181000,469644000
2012-07,1173102000,1498415000,451821000
2012-08,1161178000,1500916000,456255000
2012-09,1133937000,1506929000,474864000
2012-10,1140335000,1513410000,488364000
2012-11,1124825000,1519555000,484489000
2012-12,1136502000,1525501000,472552000
2013-01,1140056000,1530895000,488473000
2013-02,1123439000,1526768000,482999000
2013-03,1163988000,1554797000,517610000
2013-04,1179091000,1560778000,516749000
2013-05,1185840000,1566524000,521767000
2013-06,1194404000,1572688000,499578000
2013-07,1208800000,1582029000,492107000
2013-08,1208941000,1596237000,496875000
2013-09,1209554000,1604290000,505904000
2013-10,1214986000,1611886000,530471000
2013-11,1222761000,1619952000,532699000
2013-12,1232646000,1627086000,490200000
2014-01,1220700000,1632535000,495362000
2014-02,1210350000,1627681000,474139000
2014-03,1253796000,1748563000,495184000
2014-04,1251918000,1759578000,465494000
2014-05,1252821000,1767054000,468740000
