Date, Total,jpg,png,svg,ogg,gif,tif,pdf,djvu,ogv,mid
2009/02/01,3866681,3034768,422498,221239,95888,82053,0,5786,3008,179,1082
2009/03/01,4080164,3217832,430639,240908,96444,83536,121,5920,3207,265,1095
2009/04/01,4261166,3381839,438146,246430,98107,85084,231,6166,3557,285,1104
2009/05/01,4400343,3503644,446794,251898,99494,86433,318,6270,3805,343,1111
2009/06/01,4554191,3618146,477924,257037,100618,87545,373,6418,4307,431,1132
2009/07/01,4714070,3749436,496884,263723,101739,88837,471,6533,4545,490,1136
2009/08/01,4876814,3884248,511883,271086,104763,90327,609,7152,4779,535,1141
2009/09/01,5005424,3996554,519297,277353,105348,91677,710,7414,5011,593,1146
2009/10/01,5273082,4246548,528848,282512,106132,92974,834,7767,5262,692,1176
2009/11/01,5445917,4400995,537872,289191,106773,94193,920,8054,5497,878,1189
2009/12/01,5585250,4517869,549918,295186,107883,95481,1031,8425,6884,998,1195
2010/01/01,5939431,4847251,562254,302481,110337,97212,1163,8667,7258,1110,1214
2010/02/01,6090065,4972170,578914,308166,111229,98610,1482,8971,7610,1179,1229
2010/03/01,6259050,5098523,610568,315540,112486,99891,1750,9197,8017,1311,1232
2010/04/01,6459825,5269746,630608,322294,113220,100809,1853,9619,8355,1523,1238
2010/05/01,6653743,5437547,645417,329798,114230,101785,1938,9796,9654,1747,1249
2010/06/01,6815708,5576228,657554,337579,115672,102823,2070,9968,10042,1915,1254
2010/07/01,7008116,5735923,667920,344214,117243,103859,12719,10225,11807,2327,1261
2010/08/01,7202637,5901678,679193,354070,121101,104985,14189,10381,12609,2510,1276
2010/09/01,7398770,6072323,691857,362297,123030,106515,14458,10533,13019,2746,1306
2010/10/01,7588020,6234258,703278,373509,125120,107946,14582,10858,13495,2920,1324
2010/11/01,7745513,6362305,721658,380578,126010,109228,14803,11168,13877,3753,1341
2010/12/01,7972093,6567000,733068,387729,127094,110210,14957,11539,14385,3924,1363
2011/01/01,8197687,6768256,745766,395931,127926,111483,15135,11819,14893,4228,1376
2011/02/01,9359272,7879441,756826,431517,129072,112805,15360,12246,15280,4390,1426
2011/03/01,9876231,8367721,766133,447092,130052,113950,15582,12692,15988,4597,1455
2011/04/01,10067090,8534321,778884,454285,131353,115193,15751,13167,16563,5049,1508
2011/05/01,10247394,8692263,788401,463268,132271,116111,15960,13923,17212,5383,1530
2011/06/01,10443980,8866419,800738,469304,133010,117040,16363,14952,17842,5652,1548
2011/07/01,10638876,9035477,813197,475774,134799,118236,18954,15602,18263,5866,1561
2011/08/01,10860229,9215306,827026,483578,136309,119467,34553,16302,18725,6205,1579
2011/09/01,11266956,9558175,838389,491624,137832,120577,74361,17493,19079,6559,1609
2011/10/01,11527103,9782892,852702,502460,138991,121741,80668,18353,19571,6786,1621
2011/11/01,11749079,9975696,862851,510865,145139,122987,81753,19493,19948,7157,1794
2011/12/01,11956659,10158951,876330,517432,146353,124335,82041,20134,20297,7508,1836
2012/01/01,12185174,10354571,892256,525640,150271,126703,82567,20818,20835,7901,2109
2012/02/01,12367426,10511042,904287,531378,153790,127928,82798,21782,21533,8471,2158
